au-name	bgrf	author_wikidata
Ambroise Falconnet	70.45	http://www.wikidata.org/entity/Q67201355
Joseph Fiévée	98.41	http://www.wikidata.org/entity/Q3184948
Jean-Pierre Claris de Florian	88.53	http://www.wikidata.org/entity/Q551740
Jean-Pierre Claris de Florian	83.26	http://www.wikidata.org/entity/Q551740
Jean-Pierre Claris de Florian	86.34	http://www.wikidata.org/entity/Q551740
Marie-Louise Auget de Monthyon	75.28	http://www.wikidata.org/entity/Q33141030
Jean-Philippe Fyot de la Marche	52.23	http://www.wikidata.org/entity/Q3168802
Stéphanie Félicité Ducrest de Saint-Aubin de Genlis	82.20	http://www.wikidata.org/entity/Q55037230
Stéphanie Félicité Ducrest de Saint-Aubin de Genlis	95.20	http://www.wikidata.org/entity/Q55037230
Stéphanie Félicité Ducrest de Saint-Aubin de Genlis	98.44	http://www.wikidata.org/entity/Q55037230
Stéphanie-Félicité Ducrest de Saint-Aubin de Genlis	00.75	http://www.wikidata.org/entity/Q55037230
Philippe Louis Gérard	74.15	http://www.wikidata.org/entity/Q60151324
Nicolas Joseph Laurent Gilbert	70.46	http://www.wikidata.org/entity/Q1393327
Jean-Baptiste Jacques Gimat de Bonneval	53.17	http://www.wikidata.org/entity/Q28579440
Jean-Claude Gorgy	84.27	http://www.wikidata.org/entity/Q15407023
Grandville	92.17	http://www.wikidata.org/entity/Q3115303
Armand Pierre Jacquin	58.13	http://www.wikidata.org/entity/Q60842185
Pierre Choderlos de Laclos	82.17	http://www.wikidata.org/entity/Q212476
Comtesse de Lagrave	99.104	http://www.wikidata.org/entity/Q106648935
Comtesse de Lagrave	99.105	http://www.wikidata.org/entity/Q106648935
Jean-Charles Laveaux	85.33	http://www.wikidata.org/entity/Q649330
Nicolas-Germain Léonard	74.20	http://www.wikidata.org/entity/Q970715
Nicolas-Germain Léonard	83.31	http://www.wikidata.org/entity/Q970715
Robert-Martin Lesuire	82.27	http://www.wikidata.org/entity/Q3434367
Robert-Martin Lesuire	89.81	http://www.wikidata.org/entity/Q3434367
Simon-Nicolas Henri Linguet	55.27	http://www.wikidata.org/entity/Q1505526
Joseph-Marie Loaisel de Tréogate	87.54bis	http://www.wikidata.org/entity/Q56062794
Joseph-Marie Loaisel de Tréogate	79.22	http://www.wikidata.org/entity/Q56062794
Joseph-Marie Loaisel de Tréogate	83.33	http://www.wikidata.org/entity/Q56062794
Jean-Baptiste Louvet de Couvrai	87.56	http://www.wikidata.org/entity/Q1362457
Jean-Baptiste Louvet de Couvrai	90.47	http://www.wikidata.org/entity/Q1362457
Jean-Pierre-Louis de Luchet	84.39	http://www.wikidata.org/entity/Q1242530
Xavier de Maistre	94.8	http://www.wikidata.org/entity/Q2737006
Charlotte de Bournon	83.35	http://www.wikidata.org/entity/Q2961027
Abbé Marchadier	52.32	
Jean-Henri Marchand	51.37	http://www.wikidata.org/entity/Q95343645
Jean-François Marmontel	67.39	http://www.wikidata.org/entity/Q379923
Jean-François Marmontel	61.12	http://www.wikidata.org/entity/Q379923
Jean-François Marmontel	91.35	http://www.wikidata.org/entity/Q379923
Jean-François Marmontel	77.50	http://www.wikidata.org/entity/Q379923
Jean Henri Maubert de Gouvest	54.28	http://www.wikidata.org/entity/Q1684896
Anne-Jeanne-Félicité Mérard de Saint-Just	84.43	http://www.wikidata.org/entity/Q42529211
Louis-Sébastien Mercier	71.36	http://www.wikidata.org/entity/Q709670
Louis-Sébastien Mercier	76.36	http://www.wikidata.org/entity/Q709670
Louis-Sébastien Mercier	68.42	http://www.wikidata.org/entity/Q709670
Honoré-Gabriel Riqueti comte de Mirabeau	83.40	http://www.wikidata.org/entity/Q218747
Honoré-Gabriel Riqueti comte de Mirabeau	86.51	http://www.wikidata.org/entity/Q218747
Antoine Gautier de Montdorge	69.36	http://www.wikidata.org/entity/Q2853979
Montesquieu	83.42	http://www.wikidata.org/entity/Q15975
Jacob-Nicolas Moreau	57.10	http://www.wikidata.org/entity/Q3157507
Étienne-Gabriel Morelly	53.26	http://www.wikidata.org/entity/Q289139
Charles Jacques Louis Auguste Rochette La Morlière	70.56	http://www.wikidata.org/entity/Q3159898
Charles de Fieux	52.35	http://www.wikidata.org/entity/Q2960572
André Robert de Nerciat	93.16	http://www.wikidata.org/entity/Q718081
André Robert de Nerciat	88.94	http://www.wikidata.org/entity/Q718081
André Robert de Nerciat	84.50	http://www.wikidata.org/entity/Q718081
André Robert de Nerciat	75.37	http://www.wikidata.org/entity/Q718081
André Robert de Nerciat	92.34	http://www.wikidata.org/entity/Q718081
Charles Pertusier	00.117	http://www.wikidata.org/entity/Q49178006
Pigault-Lebrun	00.119	http://www.wikidata.org/entity/Q3388279
Pigault-Lebrun	96.50	http://www.wikidata.org/entity/Q3388279
Pigault-Lebrun	00.122	http://www.wikidata.org/entity/Q3388279
