P13				P8	check		1P8	1check		2P8	2check		3P8	3check		4P8	4check	5P8	5check		P43
update																				
P13	check	Column	Column2	pl_copy 1 1	pl_copy 1 1 ID	coordonnées géographiques2	pl_copy 1 2	pl_copy 1 2 ID	coordonnées géographiques	pl_copy 1 3	pl_copy 1 3 ID	coordonnées géographiques3	pl_copy 2 1	pl_copy 2 1 ID	coordonnées géographiques4	pl_copy 2 2	pl_copy 2 2 ID	pl_copy 3	pl_copy 3 ID	coordonnées géographiques5	P43
00.146			Paris	Paris	https://www.wikidata.org/wiki/Q90	48.856944444444,2.3513888888889															imprimerie de Chaignieau aîné
00.147			Paris	Paris	https://www.wikidata.org/wiki/Q90	48.856944444444,2.3513888888889															Roux
00.148			Paris	Paris	https://www.wikidata.org/wiki/Q90	48.856944444444,2.3513888888889															marchands de nouveautés
00.149	t		Paris	Paris	https://www.wikidata.org/wiki/Q90	48.856944444444,2.3513888888889															Tavernier
00.15			Paris	Paris	https://www.wikidata.org/wiki/Q90	48.856944444444,2.3513888888889															Lavillette, rue Saint-André-des Arcs, 8
00.150	t		Paris	Paris	https://www.wikidata.org/wiki/Q90	48.856944444444,2.3513888888889															Michel et Billois
00.151	t		Paris	Paris	https://www.wikidata.org/wiki/Q90	48.856944444444,2.3513888888889															And. Aug. Lottin
00.152	t		Paris	Paris	https://www.wikidata.org/wiki/Q90	48.856944444444,2.3513888888889															Ducauroy
00.153	t		Paris	Paris	https://www.wikidata.org/wiki/Q90	48.856944444444,2.3513888888889															P.D. Barez, Charles Pougens
00.154	t		Paris	Paris	https://www.wikidata.org/wiki/Q90	48.856944444444,2.3513888888889															Petit et les marchands de nouveautés
00.155	mnt		Paris	Paris	https://www.wikidata.org/wiki/Q90	48.856944444444,2.3513888888889															Desenne, Fuchs
00.16			Paris	Paris	https://www.wikidata.org/wiki/Q90	48.856944444444,2.3513888888889															
00.17			Paris	Paris	https://www.wikidata.org/wiki/Q90	48.856944444444,2.3513888888889															Desenne
00.18			Paris	Paris	https://www.wikidata.org/wiki/Q90	48.856944444444,2.3513888888889															And.-Aug. Lottin
00.19			Paris	Paris	https://www.wikidata.org/wiki/Q90	48.856944444444,2.3513888888889															Tiger
00.2	t		Paris	Paris	https://www.wikidata.org/wiki/Q90	48.856944444444,2.3513888888889															Lottin
00.20	t		Paris	Paris	https://www.wikidata.org/wiki/Q90	48.856944444444,2.3513888888889															H. Nicolle
00.21			Paris	Paris	https://www.wikidata.org/wiki/Q90	48.856944444444,2.3513888888889															au cabinet de lecture de Sombert et se trouve chez Maradan
00.22			Paris	Paris	https://www.wikidata.org/wiki/Q90	48.856944444444,2.3513888888889															Michelet
00.23			Paris	Paris	https://www.wikidata.org/wiki/Q90	48.856944444444,2.3513888888889															Coger et Gueffier
00.24			Paris	Paris	https://www.wikidata.org/wiki/Q90	48.856944444444,2.3513888888889															Morin
00.25			Paris	Paris	https://www.wikidata.org/wiki/Q90	48.856944444444,2.3513888888889															Drost, Pigoreau, Borniche
00.26			Paris	Paris	https://www.wikidata.org/wiki/Q90	48.856944444444,2.3513888888889															Louis
00.27	t?		Paris	Paris	https://www.wikidata.org/wiki/Q90	48.856944444444,2.3513888888889															Imbert
00.28			Paris	Paris	https://www.wikidata.org/wiki/Q90	48.856944444444,2.3513888888889															Jouaneaux et Sombert
00.29			Paris	Paris	https://www.wikidata.org/wiki/Q90	48.856944444444,2.3513888888889															chez Ancelle
00.3	t?		Paris	Paris	https://www.wikidata.org/wiki/Q90	48.856944444444,2.3513888888889															
00.30			Paris	Paris	https://www.wikidata.org/wiki/Q90	48.856944444444,2.3513888888889															Ancelle
00.31			Paris	Paris	https://www.wikidata.org/wiki/Q90	48.856944444444,2.3513888888889															Jouanaux
00.32	t?		Paris	Paris	https://www.wikidata.org/wiki/Q90	48.856944444444,2.3513888888889															Devaux
00.33	t		Genève & Paris	Genève	https://www.wikidata.org/wiki/Q71	46.2,6.15				Paris	https://www.wikidata.org/wiki/Q90	48.856944444444,2.3513888888889									J.J. Paschoud & Fuchs
00.34			Paris	Paris	https://www.wikidata.org/wiki/Q90	48.856944444444,2.3513888888889															Marchant
00.35			Paris	Paris	https://www.wikidata.org/wiki/Q90	48.856944444444,2.3513888888889															Maradan
00.36			Paris	Paris	https://www.wikidata.org/wiki/Q90	48.856944444444,2.3513888888889															à la librairie, rue Saint-André-des-Arcs, N°46
00.38	nt		Paris	Paris	https://www.wikidata.org/wiki/Q90	48.856944444444,2.3513888888889															Colnet
00.39			Paris	Paris	https://www.wikidata.org/wiki/Q90	48.856944444444,2.3513888888889															Monory
00.4	t?		Paris	Paris	https://www.wikidata.org/wiki/Q90	48.856944444444,2.3513888888889															imprimerie de Vatar-Jouannet
00.40			Paris	Paris	https://www.wikidata.org/wiki/Q90	48.856944444444,2.3513888888889															Tiger
00.41			Paris	Paris	https://www.wikidata.org/wiki/Q90	48.856944444444,2.3513888888889															Ant. Aug. Renouard
00.42	t		Paris	Paris	https://www.wikidata.org/wiki/Q90	48.856944444444,2.3513888888889															de l’imprimerie de Vatar-Jouannet
00.43			Troyes	Troyes	https://www.wikidata.org/wiki/Q5489	48.298888888889,4.0780555555556															Gobelet
00.44			Paris	Paris	https://www.wikidata.org/wiki/Q90	48.856944444444,2.3513888888889															Lemarchand
00.45	m		Paris	Paris	https://www.wikidata.org/wiki/Q90	48.856944444444,2.3513888888889															Maradan
00.46	nt		Paris	Paris	https://www.wikidata.org/wiki/Q90	48.856944444444,2.3513888888889															magasin des romans nouveaux, Lepetit
00.47	t		Paris	Paris	https://www.wikidata.org/wiki/Q90	48.856944444444,2.3513888888889															Denné j.
00.48			Paris	Paris	https://www.wikidata.org/wiki/Q90	48.856944444444,2.3513888888889															Hedde, Devaux et tous les marchands de nouveautés
00.49			Paris	Paris	https://www.wikidata.org/wiki/Q90	48.856944444444,2.3513888888889															Cailleau, la veuve Devaux et tous les marchands de nouveautés
00.5			Paris	Paris	https://www.wikidata.org/wiki/Q90	48.856944444444,2.3513888888889															Lottin
00.50			Paris	Paris	https://www.wikidata.org/wiki/Q90	48.856944444444,2.3513888888889															chez l’auteur, Cailleau, Leprieur, et chez tous les marchands de nouveautés
00.51			Paris	Paris	https://www.wikidata.org/wiki/Q90	48.856944444444,2.3513888888889															Le Prieur
00.52			Paris	Paris	https://www.wikidata.org/wiki/Q90	48.856944444444,2.3513888888889															Marchand
00.53	t		Paris	Paris	https://www.wikidata.org/wiki/Q90	48.856944444444,2.3513888888889															à l’ancienne librairie de Du Pont
00.54			Paris	Paris	https://www.wikidata.org/wiki/Q90	48.856944444444,2.3513888888889															Charles Pougens et Lefort
00.55			Paris	Paris	https://www.wikidata.org/wiki/Q90	48.856944444444,2.3513888888889															Gaillourdet et chez tous les marchands de nouveautés
00.56			A St. Pétersbourg, à Moscou	Saint-Pétersbourg	https://www.wikidata.org/wiki/Q656	59.95,30.316666666667	Moscou	https://www.wikidata.org/wiki/Q649	55.755833333333,37.617777777778												chez Mr. Alici, libraire, chez Mrs. Ris et Saucet
						59.91667,30.25															
00.57			Paris	Paris	https://www.wikidata.org/wiki/Q90	48.856944444444,2.3513888888889															And.-Aug. Lottin
00.58			Paris	Paris	https://www.wikidata.org/wiki/Q90	48.856944444444,2.3513888888889															Tavernier
00.59	mt																				De l’imprimerie de Crapelet, à Paris, chez Maradan
00.6			Paris	Paris	https://www.wikidata.org/wiki/Q90	48.856944444444,2.3513888888889															Jouannaux
00.60			Paris	Paris	https://www.wikidata.org/wiki/Q90	48.856944444444,2.3513888888889															Maradan
00.61			Paris	Paris	https://www.wikidata.org/wiki/Q90	48.856944444444,2.3513888888889															Desenne et chez tous les marchands de nouveautés
00.62			Paris	Paris	https://www.wikidata.org/wiki/Q90	48.856944444444,2.3513888888889															imprimerie de Chaignieau aîné
00.63			Paris	Paris	https://www.wikidata.org/wiki/Q90	48.856944444444,2.3513888888889															Rochette
00.64			Paris	Paris	https://www.wikidata.org/wiki/Q90	48.856944444444,2.3513888888889															Barba
00.65			Paris	Paris	https://www.wikidata.org/wiki/Q90	48.856944444444,2.3513888888889															Vatar-Jouannet
00.66			Paris	Paris	https://www.wikidata.org/wiki/Q90	48.856944444444,2.3513888888889															Vatar-Jouannet
00.67			Paris	Paris	https://www.wikidata.org/wiki/Q90	48.856944444444,2.3513888888889															Leprieur
00.68			Paris	Paris	https://www.wikidata.org/wiki/Q90	48.856944444444,2.3513888888889															Moller
00.69			Paris	Paris	https://www.wikidata.org/wiki/Q90	48.856944444444,2.3513888888889															de l’imprimerie de J. Gratiot et compagnie
00.7			Paris	Paris	https://www.wikidata.org/wiki/Q90	48.856944444444,2.3513888888889															Ducauroy
00.70	t		Paris	Paris	https://www.wikidata.org/wiki/Q90	48.856944444444,2.3513888888889															au Cabinet et sallon de lecture, boulevard Cérutti
00.71	nt		Paris	Paris	https://www.wikidata.org/wiki/Q90	48.856944444444,2.3513888888889															Cabinet littéraire, chez Vignon
00.71bis			Paris	Paris	https://www.wikidata.org/wiki/Q90	48.856944444444,2.3513888888889															Lefebvre, Maradan, Desenne et les marchands de nouveautés
00.72			Paris	Paris	https://www.wikidata.org/wiki/Q90	48.856944444444,2.3513888888889															
00.73			Paris	Paris	https://www.wikidata.org/wiki/Q90	48.856944444444,2.3513888888889															Tiger
00.74			Paris	Paris	https://www.wikidata.org/wiki/Q90	48.856944444444,2.3513888888889															Maradan
00.75			Berlin	Berlin	https://www.wikidata.org/wiki/Q64	52.516666666667,13.383333333333															F.T. de La Garde
00.76	t		Paris	Paris	https://www.wikidata.org/wiki/Q90	48.856944444444,2.3513888888889															Michel, Le Normant, Billois
00.77	mt		Paris & Strasbourg	Paris	https://www.wikidata.org/wiki/Q90	48.856944444444,2.3513888888889				Strasbourg	https://www.wikidata.org/wiki/Q6602	48.573333333333,7.7522222222222									chez Treuttel et Wurtz, de l’imprimerie de Didot le jeune
00.78	nt		Basle	Bâle	https://www.wikidata.org/wiki/Q78	47.560555555556,7.5905555555556															de l’imprimerie de J. Decker
00.79			Paris	Paris	https://www.wikidata.org/wiki/Q90	48.856944444444,2.3513888888889															André, Barba
00.8			Paris	Paris	https://www.wikidata.org/wiki/Q90	48.856944444444,2.3513888888889															Ouvrier
00.80			Paris	Paris	https://www.wikidata.org/wiki/Q90	48.856944444444,2.3513888888889															André
00.81			Paris	Paris	https://www.wikidata.org/wiki/Q90	48.856944444444,2.3513888888889															chez les marchands de nouveautés
00.82	t		Paris	Paris	https://www.wikidata.org/wiki/Q90	48.856944444444,2.3513888888889															Lenormand et chez les marchands de nouveautés
00.83	t		Paris	Paris	https://www.wikidata.org/wiki/Q90	48.856944444444,2.3513888888889															Jouanaux et Sombert
00.84	t		Paris	Paris	https://www.wikidata.org/wiki/Q90	48.856944444444,2.3513888888889															Ch. Fr. Cramer, l’ancienne librairie de Du Pont, Bernard
00.85	t		Paris	Paris	https://www.wikidata.org/wiki/Q90	48.856944444444,2.3513888888889															
00.86	t																				
00.87			Paris	Paris	https://www.wikidata.org/wiki/Q90	48.856944444444,2.3513888888889															au bureau, rue de Vaugirard
00.88	nt		Paris	Paris	https://www.wikidata.org/wiki/Q90	48.856944444444,2.3513888888889															Le Prieur
00.89			Paris	Paris	https://www.wikidata.org/wiki/Q90	48.856944444444,2.3513888888889															Maradan, libraire, rue Pavée Saint-André-des-Arts, no 16
00.9			Vienne	Vienne	https://www.wikidata.org/wiki/Q1741	48.20833,16.373064															imprimerie de Fr. Ant. Schrämbl
00.90	t		Paris	Paris	https://www.wikidata.org/wiki/Q90	48.856944444444,2.3513888888889															Ducauroy
00.91			Brunswick	Brunswick	https://www.wikidata.org/wiki/Q2773	52.269166666667,10.521111111111															Reichard
00.92			Francfort	Francfort-sur-le-Main	https://www.wikidata.org/wiki/Q1794	50.113611111111,8.6797222222222															Willmans
00.92bis	t		Paris & Francfort	Paris	https://www.wikidata.org/wiki/Q90	48.856944444444,2.3513888888889				Francfort-sur-le-Main	https://www.wikidata.org/wiki/Q1794	50.113611111111,8.6797222222222									Fuchs & F. Esslinger
00.93			Paris	Paris	https://www.wikidata.org/wiki/Q90	48.856944444444,2.3513888888889															Leprieur
00.94			Paris	Paris	https://www.wikidata.org/wiki/Q90	48.856944444444,2.3513888888889															Testu
00.95			Paris	Paris	https://www.wikidata.org/wiki/Q90	48.856944444444,2.3513888888889															de l’imprimerie de Didot jeune
00.96			Paris	Paris	https://www.wikidata.org/wiki/Q90	48.856944444444,2.3513888888889															de l’imprimerie de Didot jeune
00.97	t?		Paris	Paris	https://www.wikidata.org/wiki/Q90	48.856944444444,2.3513888888889															à la librairie, rue Saint-André-des-Arcs, No 46
00.98			Paris	Paris	https://www.wikidata.org/wiki/Q90	48.856944444444,2.3513888888889															Maradan
00.99	t		Paris	Paris	https://www.wikidata.org/wiki/Q90	48.856944444444,2.3513888888889															Ouvrier, de l’imprimerie d’Egron
51.1			Vemeuil	Vemeuil																	Jérôme Valet
51.10			Amsterdam	Amsterdam	https://www.wikidata.org/wiki/Q727	52.383333333333,4.9															Zacharie Chatelin
51.11			Amsterdam	Amsterdam	https://www.wikidata.org/wiki/Q727	52.383333333333,4.9															
51.12			Amsterdam	Amsterdam	https://www.wikidata.org/wiki/Q727	52.383333333333,4.9															par la Compagnie
