FR	EN	DE		P30	P58						P30RP14	P58RP14	P2	P2RP14	P25
bouffon	jester	Narr	Q215548	https://www.wikidata.org/wiki/Q215548		Bouffon	jester	Narr	DEL	exact match					
bureaucratie	bureaucracy	Bürokratie	Q72468	https://www.wikidata.org/wiki/Q72468		Bureaucratie	bureaucracy	Bürokratie	DEL	exact match					
Capitalisme	capitalism	Kapitalismus	Q6206	https://www.wikidata.org/wiki/Q6206		Capitalisme	capitalism	Kapitalismus	DEL	exact match					
Caricature	caricature	Karikatur	Q482919	https://www.wikidata.org/wiki/Q482919		caricature	caricature	Karikatur	DEL	exact match					
cartographie	cartography	Kartografie	Q42515	https://www.wikidata.org/wiki/Q42515		cartographie	cartography	Kartografie	DEL	exact match					
castration	castration	Kastration	Q58929	https://www.wikidata.org/wiki/Q58929		castration	castration	Kastration	DEL	exact match					
catastrophe	disaster	Katastrophe	Q3839081	https://www.wikidata.org/wiki/Q3839081		catastrophe	disaster	Katastrophe	Seklit	exact match					
catholicisme	Catholicism	Katholizismus	Q1841	https://www.wikidata.org/wiki/Q1841		catholicisme	Catholicism	Katholizismus	DEL	exact match					
censure	censure	Zensur	Q5058947		https://www.wikidata.org/wiki/Q5058947	Censure	censure		DEL	close match	#	Q19			
chaleur	heat	Hitze	Q44432		https://www.wikidata.org/wiki/Q44432	chaleur	heat	Wärme	DEL	close match	#	Q19			
chanson	song	Lied	Q7366	https://www.wikidata.org/wiki/Q7366		chanson	song	Lied	DEL	exact match					
chevalerie	chivalry	Ritterlichkeit	Q1056721	https://www.wikidata.org/wiki/Q1056721		chevalerie	chivalry	Ritterlichkeit	BGRF	exact match					
chimie	chemistry	Chemie	Q2329	https://www.wikidata.org/wiki/Q2329		Chimie	chemistry	Chemie	DEL	exact match					
chirurgie	surgery	Chirurgie	Q40821	https://www.wikidata.org/wiki/Q40821		Chirurgie	surgery	Chirurgie	DEL	exact match					
christianisme	Christianity	Christentum	Q5043	https://www.wikidata.org/wiki/Q5043		christianisme	Christianity	Christentum	Seklit	exact match					
citoyenneté	citizenship	Staatsbürgerschaft	Q42138	https://www.wikidata.org/wiki/Q42138		citoyenneté	citizenship	Staatsbürgerschaft	DEL	exact match					
civilisation	civilization	Zivilisation	Q8432	https://www.wikidata.org/wiki/Q8432		Civilisation	civilization	Zivilisation	DEL	exact match					
classe sociale	social class	soziale Klasse	Q187588	https://www.wikidata.org/wiki/Q187588		Classe sociale	social class	soziale Klasse	DEL	exact match					
classicisme	classicism	Klassizismus	Q170292	https://www.wikidata.org/wiki/Q170292		classicisme	classicism	Klassizismus	DEL	exact match					
classification	classification	Klassifizierung	Q13582682	https://www.wikidata.org/wiki/Q13582682		classification	classification	Klassifizierung	DEL	exact match					
