FR	EN	DE		P30	P58						P30RP14	P58RP14	P2	P2RP14	P25
libéralisme	liberalism	Liberalismus	Q6216		https://www.wikidata.org/wiki/Q6216	Libéralisme classique	Classic liberalism	Liberalismus	DEL	close match	#	Q19			
liberté	liberty	Freiheit	Q2979	https://www.wikidata.org/wiki/Q2979		liberté	liberty	Freiheit	DEL	exact match					
libertinage	libertinism	Libertinage	Q18915146		https://www.wikidata.org/wiki/Q18915146	libertinage	libertinsime	Libertinismus	DEL	close match	#	Q19			
littérature clandestine	Clandestine literature	Klandestine Literatur	Q3821764		https://www.wikidata.org/wiki/Q3821764	Littérature clandestine	Clandestine literature		DEL	close match	#	Q19			
livre	book	Buch	Q571	https://www.wikidata.org/wiki/Q571		livre	Book	Buch	DEL	exact match					
Lumières	enlightenment	Aufklärung	Q2512021		https://www.wikidata.org/wiki/Q2512021	lumières	lumières	Vordenker der Aufklärung	DEL	close match	#	Q19			
luxe	luxury	Luxus	Q10953913	https://www.wikidata.org/wiki/Q10953913		Luxe	luxury	Luxus	DEL	exact match					
machine	machine	Maschine	Q11019	https://www.wikidata.org/wiki/Q11019		machine	machine	Maschine	DEL	exact match					
magnétisme	magnetism	Magnetismus	Q3294789	https://www.wikidata.org/wiki/Q3294789		magnétisme	magnetism	Magnetismus	DEL	exact match					
mal	evil	das Böse		https://www.wikidata.org/wiki/Q15292		mal	evil	das Böse	Seklit	exact match					
maladie	disease	Krankheit	Q12136	https://www.wikidata.org/wiki/Q12136		maladie	disease	Krankheit	Seklit	exact match					
malheur	unhappiness	Unglück	Q105839683	https://www.wikidata.org/wiki/Q105839683		malheur	unhappiness	Unglück	BGRF/Seklit	exact match					
masque	mask	Maske	Q161524	https://www.wikidata.org/wiki/Q161524		masque	mask	Maske	DEL	exact match					
matérialisme	materialism	Materialismus	Q7081	https://www.wikidata.org/wiki/Q7081		matérialisme	materialism	Materialismus	DEL	exact match					
mathématiques	mathematics	Mathematik	Q395	https://www.wikidata.org/wiki/Q395		mathématiques	mathematics	Mathematik	DEL	exact match					
mécanique	mechanics	Mechanik	Q41217	https://www.wikidata.org/wiki/Q41217		mécanique	mechanics	Mechanik	DEL	exact match					
médecine	medicine	Medizin	Q11190	https://www.wikidata.org/wiki/Q11190		médecine	medicine	Medizin	DEL	exact match					
mélancolie	melancholia	Melancholie	Q192077	https://www.wikidata.org/wiki/Q192077		mélancolie	melancholia	Melancholie	DEL	exact match					
mémoire	recollection	Erinnerung	Q3267244	https://www.wikidata.org/wiki/Q3267244		mémoire	recollection	Erinnerung	Seklit	exact match					
mépris	contempt	Verachtung	Q5338825	https://www.wikidata.org/wiki/Q5338825		mépris	contempt	Verachtung	Seklit	exact match					
métaphysique	metaphysics	Metaphysik	Q35277	https://www.wikidata.org/wiki/Q35277		métaphysique	metaphysics	Metaphysik	DEL	exact match					
migration	migration	Migration	Q177626		https://www.wikidata.org/wiki/Q177626	migration	human migration	Migration	DEL	close match	#	Q19			
minéralogie	mineralogy	Mineralogie	Q83353	https://www.wikidata.org/wiki/Q83353		minéralogie	mineralogy	Mineralogie	DEL	exact match					
miracle	miracle	Wunder	Q170774	https://www.wikidata.org/wiki/Q170774		miracle	miracle	Wunder	BGRF	exact match					
mobilier	furniture	Mobiliar	Q14745	https://www.wikidata.org/wiki/Q14745		mobilier	furniture	Möbel	DEL	exact match					
mœurs	mores	Sitten	Q1115221	https://www.wikidata.org/wiki/Q1115221		mœurs	mores	Sitte	DEL	exact match					
monade	monad	Monade	Q12370437	https://www.wikidata.org/wiki/Q12370437		monade	monad	Monade	DEL	exact match					
monarchie	monarchie	Monarchie	Q7269	https://www.wikidata.org/wiki/Q7269		monarchy	monarchie	Monarchie	Topic Modeling	exact match					
monstruosité	monstrosity	Monstrosität	Q276453		https://www.wikidata.org/wiki/Q276453	monstruosité	monster	Monster	DEL	close match	#	Q19			
montgolfière	hot air balloon	Heißluftballon	Q1551574	https://www.wikidata.org/wiki/Q1551574		montgolfière	hot air balloon	Heißluftballon	DEL	exact match					
monument	monument	Monument	Q4989906	https://www.wikidata.org/wiki/Q4989906		monument	monument	Denkmal	DEL	exact match					
morale	morality	Moral	Q48324	https://www.wikidata.org/wiki/Q48324		morale	morality	Moral	DEL	exact match					
mort	death	Tod	Q4	https://www.wikidata.org/wiki/Q4		mort	death	Tod	DEL	exact match					
musique	music	Musik	Q638	https://www.wikidata.org/wiki/Q638		musique	music	Musik	DEL	exact match					
mystère	mystery	Mysterium	Q1247195	https://www.wikidata.org/wiki/Q1247195		mystère	mystery	Mysterium	BGRF	exact match					
mystique	mysticism	Mystik	Q45996	https://www.wikidata.org/wiki/Q45996		mystique	mysticism	Mystik	DEL	exact match					
mythologie	mythology	Mythologie	Q9134	https://www.wikidata.org/wiki/Q9134		mythologie	mythology	Mythologie	DEL	exact match					
nation	nation	Nation	Q6266	https://www.wikidata.org/wiki/Q6266		nation	nation	Nation	DEL	exact match					
nature	nature	Natur	Q7860	https://www.wikidata.org/wiki/Q7860		nature	nature	Natur	DEL	exact match					
naufrage	shipwrecking	Schiffbruch	Q906512	https://www.wikidata.org/wiki/Q906512		naufrage	shipwrecking	Schiffbruch	BGRF	exact match					
nécessité	necessity	Notwendigkeit	Q2301186	https://www.wikidata.org/wiki/Q2301186		nécessité	necessity	Notwendigkeit	DEL	exact match					
néo-classicisme	neoclassicism	Klassizismus	Q14378	https://www.wikidata.org/wiki/Q14378		néo-classicisme	neoclassicism	Klassizismus	DEL	exact match					
newtonianisme	Newtonianism	Newtonismus	Q17123497		https://www.wikidata.org/wiki/Q17123497	newtonisme	Newtonianism		DEL	close match	#	Q19			
noble sauvage'	noble savage'	edler Wilder'	Q829689		https://www.wikidata.org/wiki/Q829689	bon sauvage	noble savage	edler Wilder	DEL	close match	#	Q19			
noblesse	nobility	Adel	Q134737	https://www.wikidata.org/wiki/Q134737		noblesse	nobility	Adel	DEL	exact match					
nuit	night	Nacht	Q575	https://www.wikidata.org/wiki/Q575		nuit	night	Nacht	DEL	exact match					
oppression	oppression	Unterdrückung	Q252000	https://www.wikidata.org/wiki/Q252000		oppression	oppression	Unterdrückung	Seklit	exact match					
optimisme	optimism	Optimismus	Q485446	https://www.wikidata.org/wiki/Q485446		optimisme	optimism	Optimismus	DEL	exact match					
optique	optics	Optik	Q14620	https://www.wikidata.org/wiki/Q14620		optique	optics	Optik	DEL	exact match					
organisation	organization	Organisation	Q43229	https://www.wikidata.org/wiki/Q43229		Organisation	organization	Organisation	DEL	exact match					
orientalisme	Orientalism	Orientalismus	Q42865	https://www.wikidata.org/wiki/Q42865		orientalisme	Orientalism	Orientalismus	DEL	exact match					
originalité	originality	Originalität	Q2914681	https://www.wikidata.org/wiki/Q2914681		originalité	originality	Originalität	DEL	exact match					
paix	peace	Frieden	Q454	https://www.wikidata.org/wiki/Q454		paix	peace	Frieden	DEL	exact match					
pantomime	pantomime	Pantomime	Q13409536		https://www.wikidata.org/wiki/Q13409536	pantomime	pantomime	Englische Pantomime	DEL	close match	#	Q19			
parade	parade	Parade	Q657449		https://www.wikidata.org/wiki/Q657449	défilé	parade	Parade	DEL	close match	#	Q19			
paradoxe	paradox	Paradoxon	Q483372	https://www.wikidata.org/wiki/Q483372		paradoxe	paradox	Paradoxon	DEL	exact match					
parodie	parody	Parodie	Q170539	https://www.wikidata.org/wiki/Q170539		parodie	parody	Parodie	DEL	exact match					
passion	passion	Leidenschaft	Q335046	https://www.wikidata.org/wiki/Q335046		Passion	passion	Leidenschaft	DEL	exact match					
pastorale en littérature	pastorale in litterature	Pastorale in der Literatur							BGRF						
patriotisme	patriotism	Patriotismus	Q6241	https://www.wikidata.org/wiki/Q6241		patriotisme	patriotism	Patriotismus	DEL	exact match					
paysannerie	farming community	Bauernschaft	Q838811		https://www.wikidata.org/wiki/Q838811	paysannerie	farmer	Landarbeiter	DEL	close match	#	Q19			
péché	sin	Sünde	Q60227	https://www.wikidata.org/wiki/Q60227		péché	sin	Sünde	Seklit	exact match					
pédagogie	pedagogy	Pädagogik	Q7922	https://www.wikidata.org/wiki/Q7922		pédagogie	pedagogy	Pädagogik	DEL	exact match					
peinture	painting	Gemälde	Q3305213	https://www.wikidata.org/wiki/Q3305213		peinture	painting	Gemälde	DEL	exact match					
perfectibilité	perfection	Vollkommenheit	Q378701	https://www.wikidata.org/wiki/Q378701		perfection	perfection	Vollkommenheit	DEL	exact match					
persécution	persecution	Verfolgung	Q851824	https://www.wikidata.org/wiki/Q851824		persécution	persecution	Verfolgung	Seklit	exact match					
personnalité	personality	Persönlichkeit	Q641118	https://www.wikidata.org/wiki/Q641118		personnalité	personality	Persönlichkeit	Seklit	exact match					
perspective	perspective	Perspektive	Q1900281	https://www.wikidata.org/wiki/Q1900281		perspective	perspective	Perspektive	DEL	exact match					
pessimisme	pessimism	Pessimismus	Q484954	https://www.wikidata.org/wiki/Q484954		pessimisme	pessimism	Pessimismus	DEL	exact match					
pessimisme culturel	cultural pessimism	Kulturpessimismus	Q629509		https://www.wikidata.org/wiki/Q629509		cultural pessimism	Kulturpessimismus	Seklit	close match	#	Q19			
peuple	people	Volk	Q2472587	https://www.wikidata.org/wiki/Q2472587		peuple	people	Volk	DEL	exact match					
philosophie	philosophy	Philosophie	Q5891	https://www.wikidata.org/wiki/Q5891		philosophie	philosophy	Philosophie	DEL	exact match					
physiognomonie	physiognomy	Physiognomie	Q841933	https://www.wikidata.org/wiki/Q841933		physiognomonie	physiognomy	Physiognomie	DEL	exact match					
physiologie	physiology	Physiologie	Q521	https://www.wikidata.org/wiki/Q521		physiologie	physiology	Physiologie	DEL	exact match					
physique expérimentale	experimental physics	Experimentalphysik	Q18366	https://www.wikidata.org/wiki/Q18366		physique expérimentale	Experimental physics	Experimentalphysik	DEL	exact match					
piétisme	pietism	Pietismus	Q193664	https://www.wikidata.org/wiki/Q193664		piétisme	Pietism	Pietismus	DEL	exact match					
pittoresque	picturesque	Pittoreske	Q1627825	https://www.wikidata.org/wiki/Q1627825		pittoresque	picturesque	Picturesque	DEL	exact match					
poésie	poetry	Poesie	Q482	https://www.wikidata.org/wiki/Q482		poésie	poetry	Poesie	DEL	exact match					
police	police	Polizei	Q35535	https://www.wikidata.org/wiki/Q35535		police	police	Polizei	DEL	exact match					
politesse	politeness	Höflichkeit	Q281287	https://www.wikidata.org/wiki/Q281287		politesse	politeness	Höflichkeit	Seklit	exact match					
politique	politics	Politik	Q7163	https://www.wikidata.org/wiki/Q7163		politique	politics	Politik	Seklit	exact match					
portrait	portrait	Porträt	Q134307	https://www.wikidata.org/wiki/Q134307		portrait	portrait	Porträt	DEL	exact match					
pouvoir	power	Macht	Q25107	https://www.wikidata.org/wiki/Q25107		pouvoir	power	Macht	DEL	exact match					
préjugé	prejudice	Vorurteil	Q179742	https://www.wikidata.org/wiki/Q179742		préjugé	prejudice	Vorurteil	DEL	exact match					
probabilié	probability	Wahrscheinlichkeit	Q9492	https://www.wikidata.org/wiki/Q9492		probabilié	probability	Wahrscheinlichkeit	DEL	exact match					
problème	problem	Problem	Q621184	https://www.wikidata.org/wiki/Q621184		problème	problem	Problem	Seklit	exact match					
progrès	progress	Fortschritt	Q247792	https://www.wikidata.org/wiki/Q247792		progrès	progress	Fortschritt	DEL	exact match					
propriété	property	Eigentum	Q1400881	https://www.wikidata.org/wiki/Q1400881		propriété	property	Eigentum	DEL	exact match					
protestantisme	protestanism	Protestantismus	Q23540	https://www.wikidata.org/wiki/Q23540		protestanisme	Protestanism	Protestantismus	DEL	exact match					
proverbe	proverb	Sprichwort	Q35102	https://www.wikidata.org/wiki/Q35102		proverbe	proverb	Sprichwort	DEL	exact match					
providence	providence	Vorsehung	Q866338	https://www.wikidata.org/wiki/Q866338		providence	providence	Vorsehung	DEL	exact match					
psyché	psyche	Psyche	Q194034	https://www.wikidata.org/wiki/Q194034		psyché	psyche	Psyche	Seklit	exact match					
Querelle des Anciens et des Modernes	Quarrel of the Ancients and the Moderns	Querelle des Anciens et des Modernes	Q267863		https://www.wikidata.org/wiki/Q267863	Querelle des Anciens et des Modernes	Quarrel of the Ancients and the Moderns	Querelle des Anciens et des Modernes	DEL	close match	#	Q19			
raison	reason	Vernunft	Q178354	https://www.wikidata.org/wiki/Q178354		raison	reason	Vernunft	DEL	exact match					
réalité	reality	Realität	Q9510	https://www.wikidata.org/wiki/Q9510		réalité	reality	Realität	Seklit	exact match					
réforme	reform	Reform	Q900406	https://www.wikidata.org/wiki/Q900406		réforme	reform	Reform	Seklit	exact match					
relation amoureuse	romantic relationship	Liebesbeziehung	Q1189047		https://www.wikidata.org/wiki/Q1189047	romantic love	relation amoureuse	Liebesbeziehung	Topic Modeling	close match	#	Q19			
relativisme	relativism	Relativismus	Q83188	https://www.wikidata.org/wiki/Q83188		relativisme	relativism	Relativismus	Seklit	exact match					
religion	religion	Religion	Q9174	https://www.wikidata.org/wiki/Q9174		religion	religion	Religion	DEL	exact match					
République des Lettres	Republic of Letters	Res publica literaria	Q449359	https://www.wikidata.org/wiki/Q449359		République des Lettres	Republic of Letters	Res publica literaria	DEL	exact match					
rêve	dream	Traum	Q36348	https://www.wikidata.org/wiki/Q36348		rêve	dream	Traum	DEL	exact match					
révolution	revolution	Revolution	Q10931	https://www.wikidata.org/wiki/Q10931		révolution	revolution	Revolution	DEL	exact match					
rhétorique	rhetoric	Rhetorik	Q81009	https://www.wikidata.org/wiki/Q81009		rhétorique	rhetoric	Rhetorik	DEL	exact match					
richesse	wealth	Reichtum	Q200535		https://www.wikidata.org/wiki/Q200535	wealth	richesse	Reichtum	Topic Modeling	close match	#	Q19			
rire	laughter	Lachen	Q170579	https://www.wikidata.org/wiki/Q170579		rire	laughter	Lachen	DEL	exact match					
rivalité	rivalry	Rivalität	Q1139327	https://www.wikidata.org/wiki/Q1139327		rivalité	rivalry	Rivalität	Seklit	exact match					
Rococo	Rococo	Rokoko	Q122960	https://www.wikidata.org/wiki/Q122960		Rococo	Rococo	Rokoko	DEL	exact match					
rôle de genre	gender role	Geschlechterrolle	Q2672163	https://www.wikidata.org/wiki/Q2672163		rôle de genre	gender role	Geschlechterrolle	Seklit	exact match					
roman	novel	Roman	Q8261	https://www.wikidata.org/wiki/Q8261		roman	novel	Roman	DEL	exact match					
roman noir	novel noir	Roman noir	Q1940294	https://www.wikidata.org/wiki/Q1940294		roman noir	Novel noir	Roman noir	DEL	exact match					
rumeur	rumor	Gerücht	Q878352	https://www.wikidata.org/wiki/Q878352		rumeur	rumor	Gerücht	DEL	exact match					
sadisme	sadism	Sadismus	Q5507613		https://www.wikidata.org/wiki/Q5507613	sadisme	sexual sadism disorder	Sadismus	Seklit	close match	#	Q19			
satire	satire	Satire	Q128758	https://www.wikidata.org/wiki/Q128758		satire	satire	Satire	DEL	exact match					
scepticisme	skepticism	Skeptizismus	Q1395219	https://www.wikidata.org/wiki/Q1395219		scepticisme	skepticism	Skeptizismus	DEL	exact match					
science	science	Wissenschaft	Q336	https://www.wikidata.org/wiki/Q336		science	science	Wissenschaft	DEL	exact match					
sculpture	sculpture	Skulptur	Q860861	https://www.wikidata.org/wiki/Q860861		sculpture	sculpture	Skulptur	DEL	exact match					
séduction	seduction	Verführung	Q1527023	https://www.wikidata.org/wiki/Q1527023		séduction	seduction	Verführung	Seklit	exact match					
sentimentalisme	sentimentalism	Empfindsamkeit	Q754602		https://www.wikidata.org/wiki/Q754602	Empfindsamkeit	sentimentalism	Empfindsamkeit	DEL	close match	#	Q19			
sensualisme	sensualism	Sensualismus	Q651205	https://www.wikidata.org/wiki/Q651205		sensualisme	sensualism	Sensualismus	DEL	exact match					
sentiment	sentiment	Gefühl	Q205555	https://www.wikidata.org/wiki/Q205555		feeling	sentiment	Gefühl	Topic Modeling	exact match					
sexualité	sexuality	Sexualität	Q4042967	https://www.wikidata.org/wiki/Q4042967		sexualité	sexuality	Sexualität	DEL	exact match					
sociabilité	sociability	Soziabilität	Q366435	https://www.wikidata.org/wiki/Q366435		sociabilité	sociability	Soziabilität	DEL	exact match					
société	society	Gesellschaft	Q8425	https://www.wikidata.org/wiki/Q8425		société	society	Gesellschaft	Seklit	exact match					
soldat	soldier	Soldat	Q4991371	https://www.wikidata.org/wiki/Q4991371		soldat	soldier	Soldat	DEL	exact match					
solitude	loneliness	Einsamkeit	Q223270	https://www.wikidata.org/wiki/Q223270		solitude	loneliness	Einsamkeit	Seklit	exact match					
sorcellerie	witchcraft	Hexerei	Q259745	https://www.wikidata.org/wiki/Q259745		sorcellerie	witchcraft	Zauberei	DEL	exact match					
souffrance	suffering	Leiden	Q5780945		https://www.wikidata.org/wiki/Q5780945	souffrance	suffering	Leid	Seklit	close match	#	Q19			
statistique	statistics	Statistik	Q12483	https://www.wikidata.org/wiki/Q12483		statistique	statistics	Statistik	DEL	exact match					
sublime	sublime	Erhabene	Q999803	https://www.wikidata.org/wiki/Q999803		sublime	sublime	Das Erhabene	DEL	exact match					
suicide	suicide	Suizid	Q10737	https://www.wikidata.org/wiki/Q10737		suicide	suicide	Suizid	Seklit	exact match					
superstition	superstition	Aberglaube	Q133182	https://www.wikidata.org/wiki/Q133182		superstition	superstition	Aberglaube	Seklit	exact match					
technique	technique	Technik	Q2695280	https://www.wikidata.org/wiki/Q2695280		Technique	Technique	Technik	DEL	exact match					
temps	time	Zeit	Q11471	https://www.wikidata.org/wiki/Q11471		temps	time	Zeit	DEL	exact match					
terreur	terror	Terror	Q13648784	https://www.wikidata.org/wiki/Q13648784		terreur	terror	Terror	DEL	exact match					
Théodicée	theodicy	Theodizee	Q276183	https://www.wikidata.org/wiki/Q276183		Théodicée	theodicy	Theodizee	DEL	exact match					
théologie	theology	Theologie	Q34178	https://www.wikidata.org/wiki/Q34178		théologie	theology	Theologie	DEL	exact match					
tolérance	toleration	Toleranz	Q183225	https://www.wikidata.org/wiki/Q183225		tolérance	Toleration	Toleranz	DEL	exact match					
tradition	tradition	Tradition	Q82821	https://www.wikidata.org/wiki/Q82821		Tradition	tradition	Tradition	DEL	exact match					
traduction	translation	Übersetzung	Q7553	https://www.wikidata.org/wiki/Q7553		Traduction	translation	Übersetzung	DEL	exact match					
tragédie	tragedy	Tragödie	Q80930	https://www.wikidata.org/wiki/Q80930		tragédie	tragedy	Tragödie	DEL	exact match					
transport	transport	Transport	Q7590	https://www.wikidata.org/wiki/Q7590		transport	transport	Verkehr	DEL	exact match					
travail	work	Arbeit	Q6958747	https://www.wikidata.org/wiki/Q6958747		Travail	work	Arbeit	DEL	exact match					
troubadour	troubadour	Troubadour	Q186370	https://www.wikidata.org/wiki/Q186370		troubadour	troubadour	Troubadour	BGRF	exact match					
tyrannie	tyranny	Tyrannei	Q22082330	https://www.wikidata.org/wiki/Q22082330		tyrannie	tyranny	Tyrannei	Seklit	exact match					
universaux	universality	Universalismus	Q875797	https://www.wikidata.org/wiki/Q875797		universaux	universality	Universalismus	Seklit	exact match					
urbanisme	urbanism	Urbanistik	Q59950	https://www.wikidata.org/wiki/Q59950		Urbanisme	urbanism	Urbanistik	DEL	exact match					
utilitarisme	utilitarianism	Utilitarismus	Q160590	https://www.wikidata.org/wiki/Q160590		utilitarisme	utilitarianism	Utilitarismus	DEL	exact match					
utopie	utopia	Utopie	Q131156	https://www.wikidata.org/wiki/Q131156		utopie	utopia	Utopie	DEL	exact match					
valeur	value	Wertvorstellung	Q194112	https://www.wikidata.org/wiki/Q194112		valeur	value	Wertvorstellung	Seklit	exact match					
vanité	vanity	Eitelkeit	Q1321250	https://www.wikidata.org/wiki/Q1321250		vanité	vanity	Eitelkeit	Seklit	exact match					
vengeance	revenge	Rache	Q1712140	https://www.wikidata.org/wiki/Q1712140		vengeance	revenge	Rache	Seklit	exact match					
vérité	truth	Wahrheit	Q7949	https://www.wikidata.org/wiki/Q7949		vérité	truth	Wahrheit	Seklit	exact match					
vertu	virtue	Tugend	Q157811	https://www.wikidata.org/wiki/Q157811		vertu	virtue	Tugend	DEL	exact match					
vie	life	Leben	Q3	https://www.wikidata.org/wiki/Q3		vie	life	Leben	Seklit	exact match					
vie quotidienne	everyday life	Alltag	Q1129653	https://www.wikidata.org/wiki/Q1129653		vie quotidienne	everyday life	Alltag	Seklit	exact match					
violence	violence	Gewalt	Q124490	https://www.wikidata.org/wiki/Q124490		violence	violence	Gewalt	Seklit	exact match					
volcanisme	volcano	Vulkanismus	Q505748		https://www.wikidata.org/wiki/Q505748	volcan	volcano	Vulkanismus	DEL	close match	#	Q19			
volonté	will	Wille	Q364340	https://www.wikidata.org/wiki/Q364340		volonté	will	Wille	Seklit	exact match					
voyage	travel	Reise	Q61509	https://www.wikidata.org/wiki/Q61509		voyage	travel	Reise	DEL	exact match					
vulgarisation	popularisation	Popularismus	Q2104295		https://www.wikidata.org/wiki/Q2104295		popularisation	Popularismus	Seklit	close match	#	Q19			
zoologie	zoology	Zoologie	Q431	https://www.wikidata.org/wiki/Q431		zoologie	zoology	Zoologie	DEL	exact match					
