P13					P25	P25RP14	P25R1P14
update						Q1	Q24
id	Spalte	text	Keyword	property	Themenwert		
63.31	r_s	intentions moralisatrices, idées politiques	politique	isabout	politique		
63.32	r_c	aventures galantes et voyages d’une fille du peuple	galant	isabout	galanterie		
63.32	r_c	aventures galantes et voyages d’une fille du peuple	voyages	isabout	voyage		
63.37	r_c	voyages en mer, aventures romanesques, naufrage (le héros arrive chez un peuple volant, dont le corps est recouvert d’une membrane faisant fonction d’ailes)	voyages	isabout	voyage		
63.37	r_c	voyages en mer, aventures romanesques, naufrage (le héros arrive chez un peuple volant, dont le corps est recouvert d’une membrane faisant fonction d’ailes)	naufrage	isabout	naufrage		
63.38	r_c	aventures sentimentales et militaires	sentimentale	isabout	sentiment		
63.38	r_c	aventures sentimentales et militaires	militaire	isabout	militaire		
63.39	r_c	voyages, aventures romanesques	voyages	isabout	voyage		
63.4	r_c	aventures galantes et romanesques, voyages	galant	isabout	galanterie		
63.4	r_c	aventures galantes et romanesques, voyages	voyages	isabout	voyage		
63.40	r_c	histoires de famille et de mariage, récits intercalés sur les funestes effets des passions	famille	isabout	famille		
63.40	r_c	histoires de famille et de mariage, récits intercalés sur les funestes effets des passions	passion	isabout	passion		
63.41	r_c	intrigue sentimentale	sentimentale	isabout	sentiment		
63.41	r_s	sensibilité, mélancolie, analyse de l’amour	sensibilité	isabout	sentimentalisme		
63.41	r_s	sensibilité, mélancolie, analyse de l’amour	amour	isabout	amour		
63.41	r_s	sensibilité, mélancolie, analyse de l’amour	mélancolie	isabout	mélancolie		
63.42	r_c	(Ligri singe presque humain, élevé par le docteur Abadolfs, lui écrit pendant ses voyages) intrigue sentimentale comique	sentimentale	isabout	sentiment		
63.42	r_c	(Ligri singe presque humain, élevé par le docteur Abadolfs, lui écrit pendant ses voyages) intrigue sentimentale comique	voyages	isabout	voyage		
63.42	r_s	remarques sur les mœurs, les institutions, thèmes philosophiques, ton satirique	thèmes philosophiques	isabout	philosophie		
63.42	r_s	remarques sur les mœurs, les institutions, thèmes philosophiques, ton satirique	mœurs	isabout	mœurs		
63.5	r_c	intrigues libertines	libertines	isabout	libertinage		
63.6	r_c	intrigue sentimentale, aventures merveilleuses	sentimentale	isabout	sentiment		
63.6	r_c	intrigue sentimentale, aventures merveilleuses	merveille	isabout	miracle		
63.7	r_s	sensibilité effrénée (parodie de la Nouvelle Héloïse)	sensibilité	isabout	sentimentalisme		
63.7	r_c	correspondance entre un oncle et son neveu, dont les amours sont tumultueuses	amour	isabout	amour		
63.7	r_c	correspondance entre un oncle et son neveu, dont les amours sont tumultueuses	correspondance	isabout	correspondance littéraire		
63.8	r_s	but moralisateur, sensibilité	sensibilité	isabout	sentimentalisme		
63.8	r_c	un père, une mère s’occupent de l’éducation de leurs fils-un bon sujet, un mauvais—et veillent sur leurs premiers pas dans le monde	éducation	isabout	éducation		
64.1	r_s	sensibilité	sensibilité	isabout	sentimentalisme		
64.1	r_c	histoires de famille, malheurs d’une jeune fille	famille	isabout	famille		
64.1	r_c	histoires de famille, malheurs d’une jeune fille	malheurs	isabout	malheur		
64.10	r_c	aventures galantes d’une prostituée	galant	isabout	galanterie		
64.14	r_s	sensibilité effrénée, ton sombre	sensibilité	isabout	sentimentalisme		
64.14	r_c	un lord tombe amoureux d’une jeune paysanne et essuie une série de malheurs	malheurs	isabout	malheur		
64.14	r_c	un lord tombe amoureux d’une jeune paysanne et essuie une série de malheurs	amour	isabout	amour		
64.15	r_s	ton sombre ( ’victime de l’Amour, esclave des Passions, jouet de ta Fortune, j’ai vécu dans un tourbillon de maux...’)	esclave	isabout	esclavage		
64.18	r_c	intrigue mondaine, récit sentimental	sentimental	isabout	sentiment		
64.18	r_s	sensibilité	sensibilité	isabout	sentimentalisme		
64.2	r_c	curieuse anecdote où l’auteur assiste aux ébats amoureux d’un écrivain pauvre et de son amante Julie (le narrateur montre à l’écrivain comment mieux plaire au public, ce qui lui permettra d’épouser sa Julie)	amour	isabout	amour		
64.20	r_c	aventures romanesques, voyages, campagnes militaires, arrière-plan historique	voyages	isabout	voyage		
64.20	r_c	aventures romanesques, voyages, campagnes militaires, arrière-plan historique	militaire	isabout	militaire		
64.21	r_c	aventures romanesques, intrigue sentimentale	sentimentale	isabout	sentiment		
64.23	r_c	intrigue sentimentale	sentimentale	isabout	sentiment		
64.27	r_c	discussions philosophiques, critique des mœurs	philosophiques	isabout	philosophie		
64.27	r_c	discussions philosophiques, critique des mœurs	mœurs	isabout	mœurs		
64.3	r_c	éducation sentimentale du marquis de **	sentimentale	isabout	sentiment		
64.3	r_s	ton moralisateur, sensibilité	sensibilité	isabout	sentimentalisme		
64.3	r_c	éducation sentimentale du marquis de **	éducation	isabout	éducation		
64.30	r_c	voyages, aventures romanesques	voyages	isabout	voyage		
64.31	r_s	sensibilité, but didactique	sensibilité	isabout	sentimentalisme		
64.31	r_c	deux amants malheureux se rencontrent par hasard, elle devenue religieuse, lui confesseur; correspondance amoureuse où rentrent des discussions religieuses	malheur	isabout	malheur		
64.31	r_c	deux amants malheureux se rencontrent par hasard, elle devenue religieuse, lui confesseur; correspondance amoureuse où rentrent des discussions religieuses	amour	isabout	amour		
64.31	r_c	deux amants malheureux se rencontrent par hasard, elle devenue religieuse, lui confesseur; correspondance amoureuse où rentrent des discussions religieuses	correspondance	isabout	correspondance littéraire		
64.35	r_c	aventures romanesques, intrigues amoureuses	amour	isabout	amour		
64.4	r_c	aventures romanesques, voyages	voyages	isabout	voyage		
64.40	r_c	aventures romanesques, intrigue sentimentale	sentimentale	isabout	sentiment		
64.40	r_s	sensibilité effrénée	sensibilité	isabout	sentimentalisme		
64.41	r_c	intrigues mondaines, histoires sentimentales	sentimentale	isabout	sentiment		
64.44	r_c	récit de voyage entrecoupé d’anecdotes	voyage	isabout	voyage		
64.46	r_c	aventures merveilleuses	merveille	isabout	miracle		
64.5	r_c	intrigues galantes	galant	isabout	galanterie		
64.6	r_c	intrigues romanesques et sentimentales	sentimentale	isabout	sentiment		
64.6	r_s	sensibilité	sensibilité	isabout	sentimentalisme		
64.7	r_c	aventures romanesques, voyages, épisodes orientaux	voyages	isabout	voyage		
65.11	r_c	le marquis et la marquise de Florimène et leur famille suivent toutes les modes ridicules	famille	isabout	famille		
65.11	r_s	critique des mœurs, ton satirique	mœurs	isabout	mœurs		
65.14	r_c	aventures romanesques et sentimentales	sentimentale	isabout	sentiment		
65.14	r_s	thèmes philosophiques	thèmes philosophiques	isabout	philosophie		
65.15	r_c	intrigue sentimentale comique	sentimentale	isabout	sentiment		
65.19	r_c	voyages, aventures romanesques, sentimentales, éléments historiques	sentimentale	isabout	sentiment		
65.19	r_s	mélancolie, sensibilité (à la manière de Prévost)	sensibilité	isabout	sentimentalisme		
65.19	r_c	voyages, aventures romanesques, sentimentales, éléments historiques	voyages	isabout	voyage		
65.19	r_s	mélancolie, sensibilité (à la manière de Prévost)	mélancolie	isabout	mélancolie		
65.19	r_c	voyages, aventures romanesques, sentimentales, éléments historiques	éléments historiques	isabout	histoire		
65.2	r_c	aventures romanesques et sentimentales d’une orpheline	sentimentale	isabout	sentiment		
65.2	r_s	sensibilité	sensibilité	isabout	sentimentalisme		
65.20	r_c	intrigues galantes et sentimentales	galant	isabout	galanterie		
65.20	r_c	intrigues galantes et sentimentales	sentimentale	isabout	sentiment		
65.20	r_s	tendances réalistes, sensibilité	sensibilité	isabout	sentimentalisme		
65.22	r_c	intrigue sentimentale, amours contrariées par un père peu compréhensif	sentimentale	isabout	sentiment		
65.22	r_s	sensibilité	sensibilité	isabout	sentimentalisme		
65.22	r_c	intrigue sentimentale, amours contrariées par un père peu compréhensif	amour	isabout	amour		
65.24	r_c	aventures galantes et observations sur les mœurs	galant	isabout	galanterie		
65.24	r_c	aventures galantes et observations sur les mœurs	mœurs	isabout	mœurs		
65.25	r_c	aventures galantes et romanesques	galant	isabout	galanterie		
65.25	r_s	intentions moralisatrices, sensibilité	sensibilité	isabout	sentimentalisme		
65.26	r_c	aventures galantes et sentimentales d’une jeune fille de petite naissance recueillie par des bienfaiteurs	galant	isabout	galanterie		
65.26	r_c	aventures galantes et sentimentales d’une jeune fille de petite naissance recueillie par des bienfaiteurs	sentimentale	isabout	sentiment		
65.26	r_s	sensibilité, vertu	sensibilité	isabout	sentimentalisme		
65.26	r_s	sensibilité, vertu	vertu	isabout	vertu		
65.28	r_c	aventures sentimentales d’une jeune fille de naissance obscure	sentimentale	isabout	sentiment		
65.28	r_s	sensibilité	sensibilité	isabout	sentimentalisme		
65.29	r_c	voyages, aventures, intrigue sentimentale	sentimentale	isabout	sentiment		
65.29	r_c	voyages, aventures, intrigue sentimentale	voyages	isabout	voyage		
65.29	r_s	critique des mœurs, réflexions	mœurs	isabout	mœurs		
65.30	r_c	intrigues sentimentales	sentimentale	isabout	sentiment		
65.31	r_c	aventures sentimentales, louange de la vie pastorale	sentimentale	isabout	sentiment		
65.31	r_s	extrême sensibilité	sensibilité	isabout	sentimentalisme		
65.33	r_c	intrigues de cour, voyages, aventures romanesques	voyages	isabout	voyage		
65.33	r_c	intrigues de cour, voyages, aventures romanesques	cour	isabout	cour		
65.34	r_s	intentions édifiantes, discussions morales	morale	isabout	morale		
65.37	r_c	voyages, intrigues amoureuses, discours moraux	voyages	isabout	voyage		
65.37	r_c	voyages, intrigues amoureuses, discours moraux	amour	isabout	amour		
65.37	r_c	voyages, intrigues amoureuses, discours moraux	cour	isabout	cour		
65.38	r_c	aventures libertines (le fils d’un chaudronnier devient moine)	libertines	isabout	libertinage		
65.39	r_c	aventures galantes d’une fille libertine	galant	isabout	galanterie		
65.39	r_c	aventures galantes d’une fille libertine	libertin	isabout	libertinage		
65.41	r_c	voyages fantastiques	voyages	isabout	voyage		
65.41	r_s	thèmes philosophiques	thèmes philosophiques	isabout	philosophie		
65.42	r_s	sensibilité, malheurs, intentions moralisatrices (à la manière de Prévost)	sensibilité	isabout	sentimentalisme		
65.42	r_s	sensibilité, malheurs, intentions moralisatrices (à la manière de Prévost)	malheurs	isabout	malheur		
65.43	r_c	aventures galantes, éléments pseudohistoriques	galant	isabout	galanterie		
65.44	r_s	sensibilité	sensibilité	isabout	sentimentalisme		
65.44	r_c	histoire de famille, voyages, avec quelques épisodes romanesques	famille	isabout	famille		
65.44	r_c	histoire de famille, voyages, avec quelques épisodes romanesques	voyages	isabout	voyage		
65.50	r_c	naufrage, description d’un pays imaginaire, histoire de la conjuration de Montmor	naufrage	isabout	naufrage		
65.52	r_c	intrigues amoureuses, voyages	voyages	isabout	voyage		
65.52	r_c	intrigues amoureuses, voyages	amour	isabout	amour		
65.7	r_c	voyages, aventures romanesques, fées	voyages	isabout	voyage		
65.8	r_s	sensibilité	sensibilité	isabout	sentimentalisme		
65.8	r_c	une ancienne danseuse connaît l’amour pour la première fois, grâce aux lettres que lui écrit un abbé inconnu qu ’elle n ’a jamais rencontré	amour	isabout	amour		
66.1	r_c	intrigue sentimentale	sentimentale	isabout	sentiment		
66.10	r_c	intrigue sentimentale (deux amoureux vertueux renoncent à se voir pour ne pas succomber à la tentation)	sentimentale	isabout	sentiment		
66.10	r_c	intrigue sentimentale (deux amoureux vertueux renoncent à se voir pour ne pas succomber à la tentation)	amour	isabout	amour		
66.10	r_c	intrigue sentimentale (deux amoureux vertueux renoncent à se voir pour ne pas succomber à la tentation)	vertu	isabout	vertu		
66.14	r_c	Dialogues entre Ariste et Philindor où les mœurs sont critiquées et qui sont émaillés de petites anecdotes arrivées aux deux interlocuteurs	mœurs	isabout	mœurs		
66.15	r_s	mélancolie, sensibilité (à la manière de Prévost)	sensibilité	isabout	sentimentalisme		
66.15	r_c	aventures romanesques, malheurs	malheurs	isabout	malheur		
66.15	r_s	mélancolie, sensibilité (à la manière de Prévost)	mélancolie	isabout	mélancolie		
66.16	r_s	sensibilité passionnée	sensibilité	isabout	sentimentalisme		
66.16	r_s	sensibilité passionnée	passion	isabout	passion		
66.16	r_c	intrigue mondaine, critique des mœurs, la vertu aux prises avec la méchanceté et le vice	vertu	isabout	vertu		
66.16	r_c	intrigue mondaine, critique des mœurs, la vertu aux prises avec la méchanceté et le vice	mœurs	isabout	mœurs		
66.17	r_c	Le roman de Defoe en raccourci	cour	isabout	cour		
66.18	r_s	sensibilité, mélancolie	sensibilité	isabout	sentimentalisme		
66.18	r_c	amours contrariées	amour	isabout	amour		
66.18	r_s	sensibilité, mélancolie	mélancolie	isabout	mélancolie		
66.21	r_c	voyages, aventures romanesques et comiques, critique des mœurs et des institutions (de l’église surtout)	voyages	isabout	voyage		
66.21	r_s	ton satirique, thèmes philosophiques	thèmes philosophiques	isabout	philosophie		
66.21	r_c	voyages, aventures romanesques et comiques, critique des mœurs et des institutions (de l’église surtout)	mœurs	isabout	mœurs		
66.24	r_c	peinture des mœurs	mœurs	isabout	mœurs		
66.27	r_c	aventures romanesques et sentimentales	sentimentale	isabout	sentiment		
66.27	r_s	sensibilité, malheurs	sensibilité	isabout	sentimentalisme		
66.27	r_s	sensibilité, malheurs	malheurs	isabout	malheur		
66.28	r_s	sensibilité	sensibilité	isabout	sentimentalisme		
66.28	r_c	intrigues de famille, aventures romanesques	famille	isabout	famille		
66.29	r_c	intrigues sentimentales	sentimentale	isabout	sentiment		
66.30	r_s	intentions moralisatrices, sensibilité	sensibilité	isabout	sentimentalisme		
66.30	r_c	vie heureuse de gens simples et vertueux	vertu	isabout	vertu		
66.31	r_c	malheurs d’une jeune fille, aventures romanesques, intrigue sentimentale	sentimentale	isabout	sentiment		
66.31	r_c	malheurs d’une jeune fille, aventures romanesques, intrigue sentimentale	malheurs	isabout	malheur		
66.33	r_c	intrigues de cour, guerres, histoires d’amour, éléments merveilleux	merveille	isabout	miracle		
66.33	r_s	considérations politiques	politique	isabout	politique		
66.33	r_c	intrigues de cour, guerres, histoires d’amour, éléments merveilleux	amour	isabout	amour		
66.33	r_c	intrigues de cour, guerres, histoires d’amour, éléments merveilleux	cour	isabout	cour		
66.34	r_c	intrigues sentimentales à la cour de Childéric	sentimentale	isabout	sentiment		
66.34	r_c	intrigues sentimentales à la cour de Childéric	cour	isabout	cour		
66.35	r_c	aventures merveilleuses	merveille	isabout	miracle		
66.35	r_s	thèmes philosophiques, sensibilité, mélancolie	sensibilité	isabout	sentimentalisme		
66.35	r_s	thèmes philosophiques, sensibilité, mélancolie	thèmes philosophiques	isabout	philosophie		
66.35	r_s	thèmes philosophiques, sensibilité, mélancolie	mélancolie	isabout	mélancolie		
66.38	r_s	sensibilité	sensibilité	isabout	sentimentalisme		
66.38	r_c	malheurs d’une jeune fille, intrigues de famille, histoires d’amour	famille	isabout	famille		
66.38	r_c	malheurs d’une jeune fille, intrigues de famille, histoires d’amour	malheurs	isabout	malheur		
66.38	r_c	malheurs d’une jeune fille, intrigues de famille, histoires d’amour	amour	isabout	amour		
66.39	r_s	intrigue sentimentale (leçon de musique)	sentimentale	isabout	sentiment		
66.4	r_c	aventures d’un jeune homme, intrigue sentimentale	sentimentale	isabout	sentiment		
66.40	r_c	intrigues sentimentales	sentimentale	isabout	sentiment		
66.40	r_s	peinture des mœurs	mœurs	isabout	mœurs		
66.41	r_c	Contes moraux orientaux, avec éléments merveilleux, racontés dans un cadre	merveille	isabout	miracle		
66.42	r_c	histoires de famille, aventures romanesques et sentimentales	sentimentale	isabout	sentiment		
66.42	r_s	sensibilité, malheurs, vertu	sensibilité	isabout	sentimentalisme		
66.42	r_c	histoires de famille, aventures romanesques et sentimentales	famille	isabout	famille		
66.42	r_s	sensibilité, malheurs, vertu	malheurs	isabout	malheur		
66.42	r_s	sensibilité, malheurs, vertu	vertu	isabout	vertu		
66.43	r_s	sensibilité, vertu	sensibilité	isabout	sentimentalisme		
66.43	r_s	sensibilité, vertu	vertu	isabout	vertu		
66.43	r_c	aventures d’une orpheline en société, peinture des mœurs	mœurs	isabout	mœurs		
66.44	r_s	mélancolie, sensibilité	sensibilité	isabout	sentimentalisme		
66.44	r_c	histoires de famille, malheurs	famille	isabout	famille		
66.44	r_c	histoires de famille, malheurs	malheurs	isabout	malheur		
66.44	r_s	mélancolie, sensibilité	mélancolie	isabout	mélancolie		
66.5	r_c	intrigue sentimentale, amours contrariées, voyages	sentimentale	isabout	sentiment		
66.5	r_s	sensibilité, malheurs	sensibilité	isabout	sentimentalisme		
66.5	r_s	sensibilité, malheurs	malheurs	isabout	malheur		
66.5	r_c	intrigue sentimentale, amours contrariées, voyages	voyages	isabout	voyage		
66.5	r_c	intrigue sentimentale, amours contrariées, voyages	amour	isabout	amour		
66.6bis	r_c	intrigues galantes	galant	isabout	galanterie		
66.7	r_c	voyages, utopie, discussions sur l’organisation de l’Etat	voyages	isabout	voyage		
66.8	r_c	carrière politique et militaire d’un grand roi	politique	isabout	politique		
66.8	r_c	carrière politique et militaire d’un grand roi	militaire	isabout	militaire		
66.9	r_s	sensibilité effrénée, vertu, bienfaisance	sensibilité	isabout	sentimentalisme		
66.9	r_c	malheurs, aventures romanesques	malheurs	isabout	malheur		
66.9	r_s	sensibilité effrénée, vertu, bienfaisance	vertu	isabout	vertu		
67.1	r_c	politique, guerres, amitié, éducation, amour, arrière-plan historique	politique	isabout	politique		
67.1	r_c	politique, guerres, amitié, éducation, amour, arrière-plan historique	éducation	isabout	éducation		
67.1	r_c	politique, guerres, amitié, éducation, amour, arrière-plan historique	amour	isabout	amour		
67.10	r_c	aventures galantes	galant	isabout	galanterie		
67.11	r_c	les aventures et voyages d’une prostituée	voyages	isabout	voyage		
67.12	r_c	voyage, aventures saugrenues, quelques descriptions touristiques	voyage	isabout	voyage		
67.14	r_s	sensibilité effrénée	sensibilité	isabout	sentimentalisme		
67.14	r_c	amours impossibles, malheurs	malheurs	isabout	malheur		
67.14	r_c	amours impossibles, malheurs	amour	isabout	amour		
67.15	r_s	sensibilité effrénée	sensibilité	isabout	sentimentalisme		
67.15	r_c	malheurs d’une jeune fille	malheurs	isabout	malheur		
67.16	r_s	sensibilité effrénée	sensibilité	isabout	sentimentalisme		
67.16	r_c	malheurs d’une jeune fille	malheurs	isabout	malheur		
67.17	r_c	intrigue sentimentale	sentimentale	isabout	sentiment		
67.17	r_s	sensibilité effrénée, mélancolie, horreur	sensibilité	isabout	sentimentalisme		
67.17	r_s	sensibilité effrénée, mélancolie, horreur	mélancolie	isabout	mélancolie		
67.18	r_s	sensibilité, mélancolie	sensibilité	isabout	sentimentalisme		
67.18	r_s	sensibilité, mélancolie	mélancolie	isabout	mélancolie		
67.18	r_c	une jeune fille défend sa vertu contre des séducteurs	vertu	isabout	vertu		
67.2	r_c	aventures militaires, intrigues sentimentales	sentimentale	isabout	sentiment		
67.2	r_c	aventures militaires, intrigues sentimentales	militaire	isabout	militaire		
67.20	r_c	intrigue sentimentale doublée de la conversion du héros, philosophe et bon viveur	sentimentale	isabout	sentiment		
67.21	r_s	sujet biblique; prose poétique	biblique	isabout	bible		
67.22	r_s	éléments surnaturels (magie Blanche)	nature	isabout	nature		
67.24	r_c	intrigues sentimentales (une orpheline retrouve son père)	sentimentale	isabout	sentiment		
67.24	r_s	sensibilité, bienfaisance, vertu	sensibilité	isabout	sentimentalisme		
67.24	r_s	sensibilité, bienfaisance, vertu	vertu	isabout	vertu		
67.26	r_c	un Turc en voyage fait ta critique des mœurs, avec intrigue sentimentale	sentimentale	isabout	sentiment		
67.26	r_c	un Turc en voyage fait ta critique des mœurs, avec intrigue sentimentale	voyage	isabout	voyage		
67.26	r_c	un Turc en voyage fait ta critique des mœurs, avec intrigue sentimentale	mœurs	isabout	mœurs		
67.27	r_s	ton très sensible	sensible	isabout	sentimentalisme		
67.27	r_c	En marge: récit d’un voyage en Prusse; observations sur les mœurs, avec peu d’épisodes romanesques	voyage	isabout	voyage		
67.27	r_c	En marge: récit d’un voyage en Prusse; observations sur les mœurs, avec peu d’épisodes romanesques	mœurs	isabout	mœurs		
67.28	r_c	En marge: petites biographies édifiantes (sujets bibliques, historiques, vies de saints)	biblique	isabout	bible		
67.29	r_c	rêves (voyage au ciel), discussions	voyage	isabout	voyage		
67.3	r_c	thèmes philosophiques: progrès moral de Candide	thèmes philosophiques	isabout	philosophie		
67.30	r_s	quelques tendances réalistes, réflexions sur l’amour et la vertu	amour	isabout	amour		
67.30	r_s	quelques tendances réalistes, réflexions sur l’amour et la vertu	vertu	isabout	vertu		
67.31	r_c	aventures romanesques, malheurs, intrigue sentimentale	sentimentale	isabout	sentiment		
67.31	r_s	sensibilité passionnée et mélancolique	sensibilité	isabout	sentimentalisme		
67.31	r_c	aventures romanesques, malheurs, intrigue sentimentale	malheurs	isabout	malheur		
67.31	r_s	sensibilité passionnée et mélancolique	passion	isabout	passion		
67.31	r_s	sensibilité passionnée et mélancolique	mélancolique	isabout	mélancolie		
67.32	r_c	amours contrariées, éléments fantastiques	amour	isabout	amour		
67.34	r_s	intentions moralisatrices, sensibilité	sensibilité	isabout	sentimentalisme		
67.34	r_c	les vicissitudes d’une famille pauvre, aventures romanesques, tableau des mœurs	famille	isabout	famille		
67.34	r_c	les vicissitudes d’une famille pauvre, aventures romanesques, tableau des mœurs	mœurs	isabout	mœurs		
67.4	r_s	sensibilité effrénée, vertu	sensibilité	isabout	sentimentalisme		
67.4	r_c	amours contrariées, aventures romanesques, malheurs	malheurs	isabout	malheur		
67.4	r_c	amours contrariées, aventures romanesques, malheurs	amour	isabout	amour		
67.4	r_s	sensibilité effrénée, vertu	vertu	isabout	vertu		
67.41	r_c	intrigue sentimentale	sentimentale	isabout	sentiment		
67.41	r_s	intentions moralisatrices, vertu, sensibilité	sensibilité	isabout	sentimentalisme		
67.41	r_s	intentions moralisatrices, vertu, sensibilité	vertu	isabout	vertu		
67.42	r_s	sensibilité, contre le fanatisme	sensibilité	isabout	sentimentalisme		
67.42	r_c	deux enfants élévés dans la nature sont corrompus par le contact de la civilisation européenne	nature	isabout	nature		
67.43	r_c	aventures romanesques, intrigues sentimentales, histoires de famille	sentimentale	isabout	sentiment		
67.43	r_s	sensibilité	sensibilité	isabout	sentimentalisme		
67.43	r_c	aventures romanesques, intrigues sentimentales, histoires de famille	famille	isabout	famille		
67.47	r_c	songe où une armée de rats parcourt le monde en introduisant des idées folles dans la tête des gens (on cherche à illustrer ainsi les folies du genre humain)	cour	isabout	cour		
67.48	r_c	intrigue sentimentale, malheurs, événements romanesques	sentimentale	isabout	sentiment		
67.48	r_s	sensibilité, vertu	sensibilité	isabout	sentimentalisme		
67.48	r_c	intrigue sentimentale, malheurs, événements romanesques	malheurs	isabout	malheur		
67.48	r_s	sensibilité, vertu	vertu	isabout	vertu		
67.5	r_c	les débuts d’un jeune bourgeois, voyages, aventures romanesques, épisode oriental	voyages	isabout	voyage		
67.50	r_c	les personnages se rencontrent dans un coche et se racontent leur vie (aventures sentimentales et romanesques)	sentimentale	isabout	sentiment		
67.50	r_s	intentions moralisatrices, ton comique, peinture des mœurs, quelques tendances réalistes	mœurs	isabout	mœurs		
67.51	r_c	intrigues sentimentales, histoires de famille, sensibilité, malheurs	sentimentale	isabout	sentiment		
67.51	r_c	intrigues sentimentales, histoires de famille, sensibilité, malheurs	sensibilité	isabout	sentimentalisme		
67.51	r_c	intrigues sentimentales, histoires de famille, sensibilité, malheurs	famille	isabout	famille		
67.51	r_c	intrigues sentimentales, histoires de famille, sensibilité, malheurs	malheurs	isabout	malheur		
67.52	r_s	ton satirique, sensibilité à la fin	sensibilité	isabout	sentimentalisme		
67.52	r_c	aventures comiques et romanesques, critiques des institutions religieuses et politiques	politique	isabout	politique		
67.53	r_c	aventures romanesques, mystérieuses, tragiques	mystérieuse	isabout	mystère		
67.6	r_c	aventures romanesques et galantes, exploits d’escroc, voyages	galant	isabout	galanterie		
67.6	r_c	aventures romanesques et galantes, exploits d’escroc, voyages	voyages	isabout	voyage		
67.7	r_c	intrigue mondaine, histoire d’amour, peinture des mœurs	amour	isabout	amour		
67.7	r_c	intrigue mondaine, histoire d’amour, peinture des mœurs	mœurs	isabout	mœurs		
67.8	r_c	aventures galantes, peinture des mœurs	galant	isabout	galanterie		
67.8	r_c	aventures galantes, peinture des mœurs	mœurs	isabout	mœurs		
67.9	r_c	aventures galantes et romanesques, voyages	galant	isabout	galanterie		
67.9	r_c	aventures galantes et romanesques, voyages	voyages	isabout	voyage		
68.1	r_c	intrigue sentimentale	sentimentale	isabout	sentiment		
68.10	r_c	observations sur les mœurs et les institutions	mœurs	isabout	mœurs		
68.11	r_c	voyages, aventures romanesques	voyages	isabout	voyage		
68.12	r_s	sensibilité	sensibilité	isabout	sentimentalisme		
68.13	r_c	aventures romanesques et sentimentales	sentimentale	isabout	sentiment		
68.16	r_c	voyage imaginaire	voyage	isabout	voyage		
68.19	r_s	sensibilité, vertu, bienfaisance, tendances réalistes (vie économique)	sensibilité	isabout	sentimentalisme		
68.19	r_s	sensibilité, vertu, bienfaisance, tendances réalistes (vie économique)	vertu	isabout	vertu		
68.2	r_c	aventures romanesques, intrigue sentimentale	sentimentale	isabout	sentiment		
68.21	r_c	aventures romanesques et galantes d’une jeune paysanne qui fait son chemin dans la société	galant	isabout	galanterie		
68.21	r_s	sensibilité, mélancolie	sensibilité	isabout	sentimentalisme		
68.21	r_s	sensibilité, mélancolie	mélancolie	isabout	mélancolie		
68.22	r_c	Amour et Mercure se déguisent et parcourent le pays des mortels afin de se distraire (anecdotes galantes)	galant	isabout	galanterie		
68.22	r_c	Amour et Mercure se déguisent et parcourent le pays des mortels afin de se distraire (anecdotes galantes)	cour	isabout	cour		
68.24	r_c	intrigues amoureuses et mondaines	amour	isabout	amour		
68.25	r_s	"sensibilité, mélancolie, passions funestes, héros ""philosophe"""	sensibilité	isabout	sentimentalisme		
68.25	r_c	aventures romanesques, haines familiales, amours tragiques, épisodes de couvent	amour	isabout	amour		
68.25	r_s	"sensibilité, mélancolie, passions funestes, héros ""philosophe"""	passion	isabout	passion		
68.25	r_s	"sensibilité, mélancolie, passions funestes, héros ""philosophe"""	mélancolie	isabout	mélancolie		
68.26	r_c	voyage imaginaire d’une âme qui passe dans l’autre monde (Julien l’Apostat raconte ses différentes existences, Anne de Boulen raconte sa vie)	voyage	isabout	voyage		
68.27	r_c	récit de voyage avec une longue description d’une utopie	voyage	isabout	voyage		
68.29	r_s	sensibilité, mélancolie, héros ‘philosophe’ (à la manière de Prévost)	sensibilité	isabout	sentimentalisme		
68.29	r_c	vie de garnison, épisodes militaires (siège de Berg-op-Zoom), aventures romanesques, voyages en mer, île déserte	voyages	isabout	voyage		
68.29	r_s	sensibilité, mélancolie, héros ‘philosophe’ (à la manière de Prévost)	mélancolie	isabout	mélancolie		
68.29	r_c	vie de garnison, épisodes militaires (siège de Berg-op-Zoom), aventures romanesques, voyages en mer, île déserte	militaire	isabout	militaire		
68.30	r_c	histoires de famille, aventures romanesques	famille	isabout	famille		
68.33	r_c	malheurs d’une jeune femme (vocation forcée, mari cruel, second mariage)	malheurs	isabout	malheur		
68.34	r_c	intrigue sentimentale (un jeune homme, élevé par un philosophe, tombe amoureux de la fille de celui-ci, mais, retrouvant ses parents, doit renoncera son amour...)	sentimentale	isabout	sentiment		
68.34	r_s	sensibilité, mélancolie	sensibilité	isabout	sentimentalisme		
68.34	r_c	intrigue sentimentale (un jeune homme, élevé par un philosophe, tombe amoureux de la fille de celui-ci, mais, retrouvant ses parents, doit renoncera son amour...)	amour	isabout	amour		
68.34	r_s	sensibilité, mélancolie	mélancolie	isabout	mélancolie		
68.35	r_c	intrigues galantes, traits historiques, campagnes militaires	galant	isabout	galanterie		
68.35	r_c	intrigues galantes, traits historiques, campagnes militaires	militaire	isabout	militaire		
68.36	r_c	intrigues galantes et sentimentales, peinture des mœurs	galant	isabout	galanterie		
68.36	r_c	intrigues galantes et sentimentales, peinture des mœurs	sentimentale	isabout	sentiment		
