P13					P25	P25RP14	P25R1P14
update						Q1	Q24
id	Spalte	text	Keyword	property	Themenwert		
00.155	r_s	éléments merveilleux, prose poétique	merveille	isabout	miracle		
00.155	r_c	aventures chevaleresques et sentimentales	chevaleresques	isabout	chevalerie		
00.16	r_c	aventures lubriques	lubriques	isabout	érotisme		
00.16	r_s	précisions pornographiques	pornographiques	isabout	érotisme		
00.18	r_s	peinture des mœurs, ton sentimental	sentimental	isabout	sentiment		
00.18	r_c	intrigues domestiques, amours criminelles, aventures	amour	isabout	amour		
00.18	r_s	peinture des mœurs, ton sentimental	mœurs	isabout	mœurs		
00.18	r_c	intrigues domestiques, amours criminelles, aventures	criminel	isabout	crime		
00.20	r_c	voyages et aventures d’un assassin involontaire	voyages	isabout	voyage		
00.21	r_c	voyages, amours et aventures d’un jeune homme	voyages	isabout	voyage		
00.21	r_c	voyages, amours et aventures d’un jeune homme	amour	isabout	amour		
00.26	r_s	bienfaisance, sensibilité	sensibilité	isabout	sentimentalisme		
00.26	r_c	histoires de famille	famille	isabout	famille		
00.27	r_c	amours passionnées	amour	isabout	amour		
00.27	r_c	amours passionnées	passion	isabout	passion		
00.28	r_s	ton sentimental et moralisateur	sentimental	isabout	sentiment		
00.28	r_c	aventures romanesques et sombres (les malheurs d’une jeune fille dont le père est trop sévère)	malheurs	isabout	malheur		
00.29	r_c	aventures romanesques et mystérieuses	mystérieuse	isabout	mystère		
00.35	r_c	éducation sentimentale	sentimentale	isabout	sentiment		
00.35	r_c	éducation sentimentale	éducation	isabout	éducation		
00.36	r_c	aventures romanesques, malheurs	malheurs	isabout	malheur		
00.39	r_c	voyages et aventures romanesques	voyages	isabout	voyage		
00.40	r_c	intrigue sentimentale	sentimentale	isabout	sentiment		
00.42	r_c	aventures guerrières, intrigues politiques et amoureuses	guerrière	isabout	guerre		
00.42	r_c	aventures guerrières, intrigues politiques et amoureuses	politique	isabout	politique		
00.42	r_c	aventures guerrières, intrigues politiques et amoureuses	amour	isabout	amour		
00.43	r_c	voyages et aventures romanesques d’un jeune couple	voyages	isabout	voyage		
00.44	r_c	intrigue sentimentale, aventures romanesques pendant la Guerre civile anglaise	sentimentale	isabout	sentiment		
00.44	r_s	sensibilité	sensibilité	isabout	sentimentalisme		
00.48	r_s	ton sensible	sensible	isabout	sentimentalisme		
00.48	r_c	intrigues amoureuses, aventures	amour	isabout	amour		
00.49	r_c	naufrage, robinsonade, intrigue sentimentale	sentimentale	isabout	sentiment		
00.49	r_s	thèmes pédagogiques et philosophiques	thèmes pédagogiques	isabout	pédagogie		
00.49	r_s	thèmes pédagogiques et philosophiques	philosophiques	isabout	philosophie		
00.49	r_c	naufrage, robinsonade, intrigue sentimentale	naufrage	isabout	naufrage		
00.51	r_c	intrigue sentimentale, avec éléments du roman noir	sentimentale	isabout	sentiment		
00.54	r_s	sensibilité, mélancolie, éléments du roman noir (grotte, couvents)	sensibilité	isabout	sentimentalisme		
00.54	r_c	amours contrariées	amour	isabout	amour		
00.54	r_s	sensibilité, mélancolie, éléments du roman noir (grotte, couvents)	mélancolie	isabout	mélancolie		
00.55	r_c	aventures militaires et révolutionnaires	révolutionnaires	isabout	révolution		
00.55	r_c	aventures militaires et révolutionnaires	militaire	isabout	militaire		
00.56	r_c	intrigues sentimentales, observations morales	sentimentale	isabout	sentiment		
00.56	r_c	intrigues sentimentales, observations morales	morale	isabout	morale		
00.57	r_c	vie de tous les jours, petits incidents domestiques, observations morales (avec des aventures romanesques dans les épisodes)	vie de tous les jours	isabout	vie quotidienne		
00.57	r_c	vie de tous les jours, petits incidents domestiques, observations morales (avec des aventures romanesques dans les épisodes)	morale	isabout	morale		
00.58	r_c	aventures chevaleresques et guerrières, mélancolie	guerrière	isabout	guerre		
00.58	r_c	aventures chevaleresques et guerrières, mélancolie	chevaleresques	isabout	chevalerie		
00.58	r_c	aventures chevaleresques et guerrières, mélancolie	mélancolie	isabout	mélancolie		
00.58	r_s	éléments historiques (Charles Martel, la bataille de Tours)	éléments historiques	isabout	histoire		
00.60	r_s	sensibilité, mélancolie	sensibilité	isabout	sentimentalisme		
00.60	r_c	les malheurs d’une femme vertueuse	malheurs	isabout	malheur		
00.60	r_s	sensibilité, mélancolie	mélancolie	isabout	mélancolie		
00.60	r_c	les malheurs d’une femme vertueuse	vertu	isabout	vertu		
00.61	r_c	intrigue sentimentale	sentimentale	isabout	sentiment		
00.62	r_s	sensibilité, vertu	sensibilité	isabout	sentimentalisme		
00.62	r_c	malheurs d’une jeune femme, histoires de famille, situations romanesques	famille	isabout	famille		
00.62	r_c	malheurs d’une jeune femme, histoires de famille, situations romanesques	malheurs	isabout	malheur		
00.62	r_s	sensibilité, vertu	vertu	isabout	vertu		
00.63	r_s	ton sentimental, réflexions morales	sentimental	isabout	sentiment		
00.63	r_s	ton sentimental, réflexions morales	morale	isabout	morale		
00.64	r_s	précisions pornographiques, ton satirique	pornographiques	isabout	érotisme		
00.66	r_s	ton satirique, thèmes philosophiques, sensibilité	sensibilité	isabout	sentimentalisme		
