P13		P52		check	1P52		1check	2P52		2check	3P52		3check	4P52		4check	5P52		5check	6P52		6check	7P52		8P52		8check	P52RP14	1P52RP14	2P52RP14	3P52RP14	4P52RP14	5P52RP14	6P52RP14	7P52RP14	8P52RP14
update																												Q1	Q1	Q1	Q1	Q1	Q1	Q1	Q1	Q1
id	s	r_pl	P48 1 Wikidata Label			P48 2 Wikidata Label			P48 3 Wikidata Label			P48 4 Wikidata Label			P48 5 Wikidata Label			P48 6 Wikidata Label			P48 7 Wikidata Label			P48 8 Wikidata Label		P48 9 Wikidata Label										
65.22		Paris	Paris	https://www.wikidata.org/wiki/Q90																																
65.23		cadre turc	Turquie	https://www.wikidata.org/wiki/Q43																																
65.24	t	Angleterre (Bath	Bath	https://www.wikidata.org/wiki/Q22889	Londres	Londres	https://www.wikidata.org/wiki/Q84																													
65.25		France	France	https://www.wikidata.org/wiki/Q142																																
65.26																																				
65.27																																				
65.28	nt	Londres	Londres	https://www.wikidata.org/wiki/Q84																																
65.29	t	M�sopotamie (Ispahan)	Ispahan	https://www.wikidata.org/wiki/Q42053	Indes	Indes	https://www.wikidata.org/wiki/Q213137																													
65.3	m																																			
65.30		France	France	https://www.wikidata.org/wiki/Q142																																
65.31		campagne	campagne	https://www.wikidata.org/wiki/Q175185	Paris	Paris	https://www.wikidata.org/wiki/Q90																													
65.32	mt																																			
65.33		cadre oriental fantaisiste	lieu de fiction	https://www.wikidata.org/wiki/Q3895768		Orient	https://www.wikidata.org/wiki/Q205653																													
65.34		Espagne	Espagne	https://www.wikidata.org/wiki/Q29																																
65.35																																				
65.36																																				
65.37	n	Gr�ce	Gr�ce	https://www.wikidata.org/wiki/Q41																																
65.38		France	France	https://www.wikidata.org/wiki/Q142																																
65.39		province	campagne	https://www.wikidata.org/wiki/Q175185	Paris	Paris	https://www.wikidata.org/wiki/Q90																													
65.4	m																																			
65.40																																				
65.41	c_MH	Angleterre	Angleterre	https://www.wikidata.org/wiki/Q21	Lune	Lune	https://www.wikidata.org/wiki/Q405	Soleil	Soleil	https://www.wikidata.org/wiki/Q525																										
65.42		Paris	Paris	https://www.wikidata.org/wiki/Q90																																
65.43		Gr�ce antique	Gr�ce antique	https://www.wikidata.org/wiki/Q11772																																
65.44		Londres	Londres	https://www.wikidata.org/wiki/Q84	Paris	Paris	https://www.wikidata.org/wiki/Q90																													
65.45		Ast�rie	Ast�rie		Sinacl�e	Sinacl�e		Cam�dris	Cam�dris																											
65.46	*																																			
65.47																																				
65.48																																				
65.49																																				
65.50		�le des Gallig�nes	�le des Gallig�nes																																	
65.51		Sanfrein	Sanfrein																																	
65.52		Londres	Londres	https://www.wikidata.org/wiki/Q84	La Haye	La Haye	https://www.wikidata.org/wiki/Q36600	Bruxelles	Bruxelles	https://www.wikidata.org/wiki/Q239	Paris	Paris	https://www.wikidata.org/wiki/Q90																							
65.6																																				
65.7		cadre oriental fantaisiste (empire de Miloloo)	lieu de fiction	https://www.wikidata.org/wiki/Q3895768		Orient	https://www.wikidata.org/wiki/Q205653																													
65.8		France	France	https://www.wikidata.org/wiki/Q142																																
65.9	*																																			
66.1		cadre pastoral grec	Gr�ce	https://www.wikidata.org/wiki/Q41																																
66.10		France	France	https://www.wikidata.org/wiki/Q142																																
66.12																																				
66.13	m																																			
66.14																																				
66.15		cadre anglais	Angleterre	https://www.wikidata.org/wiki/Q21	Allemagne	Allemagne	https://www.wikidata.org/wiki/Q183	Am�rique	Amérique	https://www.wikidata.org/wiki/Q828																										
66.16		Paris	Paris	https://www.wikidata.org/wiki/Q90																																
66.17	nt																																			
66.18		France	France	https://www.wikidata.org/wiki/Q142																																
66.19																																				
66.2																																				
66.20																																				
66.21		Normandie	Normandie	https://www.wikidata.org/wiki/Q15878	Paris	Paris	https://www.wikidata.org/wiki/Q90	Hollande	Hollande	https://www.wikidata.org/wiki/Q102911	Russie...	Russie	https://www.wikidata.org/wiki/Q159																							
66.22	*																																			
66.23																																				
66.24		cadre grec	Gr�ce	https://www.wikidata.org/wiki/Q41																																
66.25																																				
66.26	n																																			
66.27		Bruxelles	Bruxelles	https://www.wikidata.org/wiki/Q239	La Haye	La Haye	https://www.wikidata.org/wiki/Q36600																													
66.28		Angleterre	Angleterre	https://www.wikidata.org/wiki/Q21																																
66.29																																				
66.3	c																																			
66.30		P�rigord	P�rigord	https://www.wikidata.org/wiki/Q850620																																
66.31		province	campagne	https://www.wikidata.org/wiki/Q175185																																
66.32	mnt																																			
66.33		royaume de Benni (entre la rivi�re de Rio-Formo-zo et le Cap Lagos)	royaume de Benni (entre la rivi�re de Rio-Formo-zo et le Cap Lagos)																																	
66.34		Gaule	Gaule	https://www.wikidata.org/wiki/Q38060																																
66.35		cadre oriental	Orient	https://www.wikidata.org/wiki/Q205653																																
66.36																																				
66.37		cadre arabe	Arabie	https://www.wikidata.org/wiki/Q31945																																
66.38		province	campagne	https://www.wikidata.org/wiki/Q175185																																
66.39																																				
66.4	nt	Chine	R�publique populaire de Chine	https://www.wikidata.org/wiki/Q148																																
66.40																																				
66.40bis	mnt																																			
66.41	t																																			
66.42	t	Angleterre	Angleterre	https://www.wikidata.org/wiki/Q21																																
66.43	t	Angleterre (Londres)	Angleterre	https://www.wikidata.org/wiki/Q21		Londres	https://www.wikidata.org/wiki/Q84																													
66.44	t	Ecosse	�cosse	https://www.wikidata.org/wiki/Q22																																
66.5		France	France	https://www.wikidata.org/wiki/Q142																																
66.6	m																																			
66.6bis		France	France	https://www.wikidata.org/wiki/Q142																																
66.7		Angleterre	Angleterre	https://www.wikidata.org/wiki/Q21	Am�rique du Sud (XVIe si�cle)	Am�rique du Sud (XVIe si�cle)																														
66.8		cadre oriental fantaisiste	lieu de fiction	https://www.wikidata.org/wiki/Q3895768																																
66.9		France	France	https://www.wikidata.org/wiki/Q142	Indes	Indes	https://www.wikidata.org/wiki/Q213137																													
67.1		Th�bes Ath�nes	Th�bes Ath�nes																																	
67.10		Milan	Milan	https://www.wikidata.org/wiki/Q490																																
67.11		Paris	Paris	https://www.wikidata.org/wiki/Q90	Espagne	Espagne	https://www.wikidata.org/wiki/Q29	Portugal	Portugal	https://www.wikidata.org/wiki/Q45																										
67.12		Normandie	Normandie	https://www.wikidata.org/wiki/Q15878	Bretagne	Bretagne	https://www.wikidata.org/wiki/Q327																													
67.13																																				
67.14		Neustrie (Clovis II)	Neustrie	https://www.wikidata.org/wiki/Q106577																																
67.15		Angleterre	Angleterre	https://www.wikidata.org/wiki/Q21																																
67.16		Angleterre	Angleterre	https://www.wikidata.org/wiki/Q21																																
67.17		France (�poque de Fran�ois 1er)	France	https://www.wikidata.org/wiki/Q142																																
67.18		Angleterre (Londres)	Angleterre	https://www.wikidata.org/wiki/Q21		Londres	https://www.wikidata.org/wiki/Q84																													
67.19																																				
67.2	t	cadre anglais	Angleterre	https://www.wikidata.org/wiki/Q21																																
67.20		France	France	https://www.wikidata.org/wiki/Q142																																
67.21																																				
67.22		cadre anglais	Angleterre	https://www.wikidata.org/wiki/Q21																																
67.23																																				
67.24		Paris	Paris	https://www.wikidata.org/wiki/Q90																																
67.25	nt																																			
67.26		Paris	Paris	https://www.wikidata.org/wiki/Q90	province	campagne	https://www.wikidata.org/wiki/Q175185																													
67.27	m																																			
67.28	nm																																			
67.29																																				
67.3		Allemagne	Allemagne	https://www.wikidata.org/wiki/Q183	Danemark	Danemark	https://www.wikidata.org/wiki/Q35	Norv�ge	Norvège	https://www.wikidata.org/wiki/Q20																										
67.30		Paris	Paris	https://www.wikidata.org/wiki/Q90																																
67.31		Dublin	Dublin	https://www.wikidata.org/wiki/Q1761	Bruxelles	Bruxelles	https://www.wikidata.org/wiki/Q239	Londres	Londres	https://www.wikidata.org/wiki/Q84																										
67.32		cadre persan	Perse	https://www.wikidata.org/wiki/Q3746183																																
67.33																																				
67.34	t	Angleterre	Angleterre	https://www.wikidata.org/wiki/Q21																																
67.35	t	Jama�que	Jama�que	https://www.wikidata.org/wiki/Q766	Angleterre	Angleterre	https://www.wikidata.org/wiki/Q21																													
67.37	c_MH																																			
67.38		France (Paris)	France	https://www.wikidata.org/wiki/Q142		Paris	https://www.wikidata.org/wiki/Q90																													
67.4		province	campagne	https://www.wikidata.org/wiki/Q175185	Paris	Paris	https://www.wikidata.org/wiki/Q90																													
67.40																																				
67.41		cadre impr�cis	cadre impr�cis																																	
67.42	t	Am�rique du Sud	Am�rique du Sud	https://www.wikidata.org/wiki/Q18																																
67.43		France	France	https://www.wikidata.org/wiki/Q142																																
67.45		province	campagne	https://www.wikidata.org/wiki/Q175185	Paris	Paris	https://www.wikidata.org/wiki/Q90																													
67.46																																				
67.47																																				
67.48		Paris	Paris	https://www.wikidata.org/wiki/Q90	Jama�que	Jamaïque	https://www.wikidata.org/wiki/Q766																													
67.49	t																																			
67.5		province	campagne	https://www.wikidata.org/wiki/Q175185	Alger	Alger	https://www.wikidata.org/wiki/Q3561																													
67.50	t	Angleterre	Angleterre	https://www.wikidata.org/wiki/Q21																																
67.51		province	campagne	https://www.wikidata.org/wiki/Q175185																																
67.52		Bretagne	Bretagne	https://www.wikidata.org/wiki/Q327	Paris	Paris	https://www.wikidata.org/wiki/Q90																													
67.53	t																																			
67.6		Hollande	Hollande	https://www.wikidata.org/wiki/Q102911																																
67.7	t	Angleterre	Angleterre	https://www.wikidata.org/wiki/Q21																																
67.8		Ardennes	Ardennes		Paris	Paris	https://www.wikidata.org/wiki/Q90																													
67.9		cadre g�ographique assez vague (Europe)	Europe	https://www.wikidata.org/wiki/Q46																																
68.1		Gr�ce (cadre pastoral)	Gr�ce	https://www.wikidata.org/wiki/Q41																																
68.10	m	voyages � travers l�Europe et la Russie	Europe	https://www.wikidata.org/wiki/Q46		Russie	https://www.wikidata.org/wiki/Q159																													
68.11		France	France	https://www.wikidata.org/wiki/Q142	Antilles	Antilles	https://www.wikidata.org/wiki/Q166131	Jama�que	Jamaïque	https://www.wikidata.org/wiki/Q766	...	...																								
68.12		France (Bretagne)	France	https://www.wikidata.org/wiki/Q142		Bretagne	https://www.wikidata.org/wiki/Q327																													
68.13		Paris	Paris	https://www.wikidata.org/wiki/Q90																																
68.14	c_MH																																			
68.15																																				
68.16																																				
68.17		fronti�res du Pi�mont	Pi�mont	https://www.wikidata.org/wiki/Q1216																																
68.18	m																																			
68.19		Normandie	Normandie	https://www.wikidata.org/wiki/Q15878																																
68.2		P�rou	P�rou	https://www.wikidata.org/wiki/Q419																																
68.20																																				
68.21	t	Alpes italiennes	Alpes italiennes		G�nes	Gênes	https://www.wikidata.org/wiki/Q1449	Paris	Paris	https://www.wikidata.org/wiki/Q90																										
68.22																																				
68.23		Cochinchine	Cochinchine	https://www.wikidata.org/wiki/Q505503																																
68.24		France	France	https://www.wikidata.org/wiki/Q142																																
68.25		France	France	https://www.wikidata.org/wiki/Q142																																
68.26	t																																			
68.27																																				
68.28																																				
68.29		Europe	Europe	https://www.wikidata.org/wiki/Q46																																
68.3																																				
68.30		France	France	https://www.wikidata.org/wiki/Q142																																
68.31																																				
68.32																																				
68.33		France	France	https://www.wikidata.org/wiki/Q142																																
68.34		France	France	https://www.wikidata.org/wiki/Q142																																
68.35																																				
68.36		France (Paris)	France	https://www.wikidata.org/wiki/Q142		Paris	https://www.wikidata.org/wiki/Q90																													
68.37		les Isles	les Isles		Alger	Alger	https://www.wikidata.org/wiki/Q3561	Espagne	Espagne	https://www.wikidata.org/wiki/Q29	France	France	https://www.wikidata.org/wiki/Q142	Angleterre	Angleterre	https://www.wikidata.org/wiki/Q21																				
68.38		Lune (Vertic�phalie)	lieu de fiction	https://www.wikidata.org/wiki/Q3895768	lune	Lune	https://www.wikidata.org/wiki/Q405																													
68.39	m																																			
68.4																																				
68.40		France (province)	France	https://www.wikidata.org/wiki/Q142	province	campagne	https://www.wikidata.org/wiki/Q175185																													
68.41		Babilone	Babylone	https://www.wikidata.org/wiki/Q47690																																
68.42																																				
68.43		la Grande Tartarie (�au tems des F�es�)	Tartarie	https://www.wikidata.org/wiki/Q83971																																
68.44		Paris	Paris	https://www.wikidata.org/wiki/Q90																																
68.45	m																																			
68.46		Picardie	Picardie	https://www.wikidata.org/wiki/Q13950	Paris	Paris	https://www.wikidata.org/wiki/Q90																													
68.47		Angleterre	Angleterre	https://www.wikidata.org/wiki/Q21	France	France	https://www.wikidata.org/wiki/Q142																													
68.48		province	campagne	https://www.wikidata.org/wiki/Q175185	Paris	Paris	https://www.wikidata.org/wiki/Q90																													
68.49	m																																			
68.5		Corse	Corse	https://www.wikidata.org/wiki/Q14112																																
68.50		province	campagne	https://www.wikidata.org/wiki/Q175185	Paris	Paris	https://www.wikidata.org/wiki/Q90	Am�rique	Amérique	https://www.wikidata.org/wiki/Q828																										
68.51																																				
68.52		Espagne	Espagne	https://www.wikidata.org/wiki/Q29	Angleterre	Angleterre	https://www.wikidata.org/wiki/Q21																													
68.53		Picardie	Picardie	https://www.wikidata.org/wiki/Q13950																																
68.54		royaume d�Angola	Angola	https://www.wikidata.org/wiki/Q916																																
68.55		province	campagne	https://www.wikidata.org/wiki/Q175185	Paris	Paris	https://www.wikidata.org/wiki/Q90																													
68.56		Babylone	Babylone	https://www.wikidata.org/wiki/Q5684	Chine	République populaire de Chine	https://www.wikidata.org/wiki/Q148	Germanie	Germanie	https://www.wikidata.org/wiki/Q62646	Batavie ...	Batavia	https://www.wikidata.org/wiki/Q1199713																							
68.57	t	Gr�ce	Gr�ce	https://www.wikidata.org/wiki/Q41																																
68.58	mt																																			
68.5bis		Lyon	Lyon	https://www.wikidata.org/wiki/Q456	Paris	Paris	https://www.wikidata.org/wiki/Q90																													
68.6	t	Angleterre	Angleterre	https://www.wikidata.org/wiki/Q21																																
68.7		Paris	Paris	https://www.wikidata.org/wiki/Q90																																
68.8	t	Angleterre (Cambridge)	Angleterre	https://www.wikidata.org/wiki/Q21		Cambridge	https://www.wikidata.org/wiki/Q350																													
68.9		cadre fantaisiste	lieu de fiction	https://www.wikidata.org/wiki/Q3895768	(cour campagne)	(cour campagne)																														
69.1	t	Angleterre	Angleterre	https://www.wikidata.org/wiki/Q21																																
69.10		Mannheim	Mannheim	https://www.wikidata.org/wiki/Q2119	Paris	Paris	https://www.wikidata.org/wiki/Q90																													
69.11		Paris	Paris	https://www.wikidata.org/wiki/Q90																																
69.12		Angleterre	Angleterre	https://www.wikidata.org/wiki/Q21																																
69.13		Paris	Paris	https://www.wikidata.org/wiki/Q90																																
69.14		province	campagne	https://www.wikidata.org/wiki/Q175185																																
69.15		province	campagne	https://www.wikidata.org/wiki/Q175185	Paris	Paris	https://www.wikidata.org/wiki/Q90																													
69.16	t?_MH	cadre anglais	Angleterre	https://www.wikidata.org/wiki/Q21																																
69.17		France	France	https://www.wikidata.org/wiki/Q142																																
69.18	n																																			
69.19																																				
69.2		province	campagne	https://www.wikidata.org/wiki/Q175185																																
69.20		Paris	Paris	https://www.wikidata.org/wiki/Q90																																
69.21	m																																			
69.22																																				
69.23		cadre africain (Angola)	Afrique	https://www.wikidata.org/wiki/Q15		Angola	https://www.wikidata.org/wiki/Q916																													
69.24																																				
69.25		province	campagne	https://www.wikidata.org/wiki/Q175185	Paris	Paris	https://www.wikidata.org/wiki/Q90																													
69.26		France	France	https://www.wikidata.org/wiki/Q142																																
69.27		Normandie	Normandie	https://www.wikidata.org/wiki/Q15878																																
69.28																																				
69.29		Paris	Paris	https://www.wikidata.org/wiki/Q90																																
69.3	c																																			
69.30		Paris	Paris	https://www.wikidata.org/wiki/Q90																																
69.31		France	France	https://www.wikidata.org/wiki/Q142																																
69.32	m																																			
69.33		environs de Paris	environs de Paris																																	
69.34		Gr�ce (cadre pastoral)	Gr�ce	https://www.wikidata.org/wiki/Q41																																
69.35		province	campagne	https://www.wikidata.org/wiki/Q175185																																
69.36		Perse	Perse	https://www.wikidata.org/wiki/Q3746183																																
69.37	n																																			
69.38	t	Angleterre	Angleterre	https://www.wikidata.org/wiki/Q21																																
69.39	t																																			
69.4																																				
69.40	t																																			
69.41		province	campagne	https://www.wikidata.org/wiki/Q175185	Paris	Paris	https://www.wikidata.org/wiki/Q90																													
69.42	mt																																			
69.43	n	Egypte	�gypte	https://www.wikidata.org/wiki/Q79	Moyen-Orient	Moyen-Orient	https://www.wikidata.org/wiki/Q7204																													
69.44		Paris	Paris	https://www.wikidata.org/wiki/Q90																																
69.45																																				
69.46																																				
69.47		Normandie	Normandie	https://www.wikidata.org/wiki/Q15878	Paris	Paris	https://www.wikidata.org/wiki/Q90	Italie	Italie	https://www.wikidata.org/wiki/Q38																										
69.48																																				
69.49		Paris	Paris	https://www.wikidata.org/wiki/Q90																																
69.5	t	Angleterre	Angleterre	https://www.wikidata.org/wiki/Q21																																
69.50		Paris	Paris	https://www.wikidata.org/wiki/Q90																																
69.51		Angleterre	Angleterre	https://www.wikidata.org/wiki/Q21																																
69.52		Paris	Paris	https://www.wikidata.org/wiki/Q90																																
69.53	m																																			
69.54	n																																			
69.55																																				
69.56		Angleterre	Angleterre	https://www.wikidata.org/wiki/Q21																																
69.58																																				
69.59	m_MH																																			
69.6		Constantinople	Constantinople	https://www.wikidata.org/wiki/Q16869	France	France	https://www.wikidata.org/wiki/Q142																													
69.60		France	France	https://www.wikidata.org/wiki/Q142																																
69.61	mt																																			
69.62	t	Perse	Perse	https://www.wikidata.org/wiki/Q3746183																																
69.63		Franconie	Franconie	https://www.wikidata.org/wiki/Q150907																																
69.64	t	Angleterre	Angleterre	https://www.wikidata.org/wiki/Q21	France	France	https://www.wikidata.org/wiki/Q142																													
69.64bis	t	Angleterre	Angleterre	https://www.wikidata.org/wiki/Q21																																
69.65		France (aux �tems barbares de notre monarchie�)	France	https://www.wikidata.org/wiki/Q142																																
69.66	t	Europe	Europe	https://www.wikidata.org/wiki/Q46																																
69.67		Angleterre	Angleterre	https://www.wikidata.org/wiki/Q21	(province Londres)	(province Londres)																														
69.68	t	Allemagne	Allemagne	https://www.wikidata.org/wiki/Q183																																
69.69		Indes	Inde	https://www.wikidata.org/wiki/Q668	le Cap	le Cap		Rome	Rome	https://www.wikidata.org/wiki/Q220																										
69.7	t c_MH																																			
69.70	t	Espagne	Espagne	https://www.wikidata.org/wiki/Q29																																
69.71	mt																																			
69.72	t	Angleterre	Angleterre	https://www.wikidata.org/wiki/Q21																																
69.8		Damas	Damas	https://www.wikidata.org/wiki/Q3766																																
69.9		province (Dijon)	campagne	https://www.wikidata.org/wiki/Q175185		Dijon	https://www.wikidata.org/wiki/Q7003	Italie	Italie	https://www.wikidata.org/wiki/Q38	(Naples)	Naples	https://www.wikidata.org/wiki/Q2634																							
70.1		province	campagne	https://www.wikidata.org/wiki/Q175185	Paris	Paris	https://www.wikidata.org/wiki/Q90	Angleterre	Angleterre	https://www.wikidata.org/wiki/Q21																										
70.10	t	Angleterre	Angleterre	https://www.wikidata.org/wiki/Q21																																
70.11		France	France	https://www.wikidata.org/wiki/Q142																																
70.12	ct																																			
70.13	*																																			
70.14		France	France	https://www.wikidata.org/wiki/Q142	isle de C***	isle de C***																														
70.15	t	Angleterre	Angleterre	https://www.wikidata.org/wiki/Q21																																
70.16		cadre fantaisiste	lieu de fiction	https://www.wikidata.org/wiki/Q3895768																																
70.17		Paris	Paris	https://www.wikidata.org/wiki/Q90																																
70.18		province	campagne	https://www.wikidata.org/wiki/Q175185	Paris	Paris	https://www.wikidata.org/wiki/Q90	Rome	Rome	https://www.wikidata.org/wiki/Q220	La Haye...	La Haye	https://www.wikidata.org/wiki/Q624458																							
70.19																																				
70.2	t																																			
70.20																																				
70.21	c_MH																																			
70.22		Saint Dotningue	Saint Dotningue		France	France	https://www.wikidata.org/wiki/Q142																													
70.23		Ispahan	Ispahan	https://www.wikidata.org/wiki/Q42053																																
70.24		Roussillon	Roussillon	https://www.wikidata.org/wiki/Q15476	Paris	Paris	https://www.wikidata.org/wiki/Q90																													
70.25																																				
70.26		Angleterre	Angleterre	https://www.wikidata.org/wiki/Q21																																
70.27		province	campagne	https://www.wikidata.org/wiki/Q175185																																
70.28																																				
70.29		Paris	Paris	https://www.wikidata.org/wiki/Q90																																
70.3		province	campagne	https://www.wikidata.org/wiki/Q175185	Paris	Paris	https://www.wikidata.org/wiki/Q90																													
70.30	t	Canada	Canada	https://www.wikidata.org/wiki/Q16	Angleterre	Angleterre	https://www.wikidata.org/wiki/Q21																													
70.31	t																																			
70.32		Paris	Paris	https://www.wikidata.org/wiki/Q90																																
70.33	m																																			
70.34		Chypre	Chypre	https://www.wikidata.org/wiki/Q229	Angleterre	Angleterre	https://www.wikidata.org/wiki/Q21	Irlande	Irlande	https://www.wikidata.org/wiki/Q27	Italie	Italie	https://www.wikidata.org/wiki/Q38																							
70.35		France	France	https://www.wikidata.org/wiki/Q142	l�Isle heureuse	l�Isle heureuse		Lisbonne	Lisbonne	https://www.wikidata.org/wiki/Q597	...	...																								
70.36		Provence	Provence		cour de Naples � l��poque de Rodolphe III	cour de Naples � l��poque de Rodolphe III																														
70.37	m																																			
70.38		Angleterre	Angleterre	https://www.wikidata.org/wiki/Q21	Japon	Japon	https://www.wikidata.org/wiki/Q17	Siam	Siam	https://www.wikidata.org/wiki/Q1081620	Afrique	Afrique	https://www.wikidata.org/wiki/Q15	Maroc	Maroc	https://www.wikidata.org/wiki/Q1028																				
70.39		France	France	https://www.wikidata.org/wiki/Q142	Smyrne	Smyrne	https://www.wikidata.org/wiki/Q1379299	Egypte	Égypte	https://www.wikidata.org/wiki/Q79																										
70.4	*																																			
70.40		Afrique	Afrique	https://www.wikidata.org/wiki/Q15	Scythie	Scythie	https://www.wikidata.org/wiki/Q845909	Danube	Danube	https://www.wikidata.org/wiki/Q1653	Egypte	�gypte	https://www.wikidata.org/wiki/Q79																							
70.41	t																																			
70.42																																				
70.43		Angleterre	Angleterre	https://www.wikidata.org/wiki/Q21																																
70.44		France	France	https://www.wikidata.org/wiki/Q142	Saint-Louis	Saint-Louis																														
70.45		Paris	Paris	https://www.wikidata.org/wiki/Q90	province	campagne	https://www.wikidata.org/wiki/Q175185																													
70.46		Paris	Paris	https://www.wikidata.org/wiki/Q90	province	campagne	https://www.wikidata.org/wiki/Q175185																													
70.47		Perse	Perse	https://www.wikidata.org/wiki/Q3746183																																
70.48	*																																			
70.49	t	Angleterre	Angleterre	https://www.wikidata.org/wiki/Q21	France	France	https://www.wikidata.org/wiki/Q142																													
70.5	t	Angleterre	Angleterre	https://www.wikidata.org/wiki/Q21																																
70.50	t	Angleterre	Angleterre	https://www.wikidata.org/wiki/Q21	France	France	https://www.wikidata.org/wiki/Q142																													
70.51	t	Venise	Venise	https://www.wikidata.org/wiki/Q641	Padoue	Padoue	https://www.wikidata.org/wiki/Q617	Rome	Rome	https://www.wikidata.org/wiki/Q220																										
70.52	t	France	France	https://www.wikidata.org/wiki/Q142																																
70.53	t	Angleterre	Angleterre	https://www.wikidata.org/wiki/Q21																																
70.54	mnt																																			
70.55	t	Suisse	Suisse	https://www.wikidata.org/wiki/Q39	Paris	Paris	https://www.wikidata.org/wiki/Q90																													
70.56		France	France	https://www.wikidata.org/wiki/Q142																																
70.57	t	Angleterre	Angleterre	https://www.wikidata.org/wiki/Q21																																
70.58																																				
70.59																																				
70.6		France	France	https://www.wikidata.org/wiki/Q142																																
70.60																																				
70.61	nt	Perse	Perse	https://www.wikidata.org/wiki/Q3746183	Angleterre	Angleterre	https://www.wikidata.org/wiki/Q21																													
70.62																																				
70.63																																				
70.64	c_MH																																			
70.65																																				
70.66																																				
70.67	t	Angleterre	Angleterre	https://www.wikidata.org/wiki/Q21																																
70.68																																				
70.69	m																																			
70.7	t	Angleterre	Angleterre	https://www.wikidata.org/wiki/Q21																																
70.70	*																																			
70.71		Am�rique du Nord (chez les Iroquois)	Am�rique du Nord	https://www.wikidata.org/wiki/Q49																																
70.72		Allemagne	Allemagne	https://www.wikidata.org/wiki/Q183	Constantinople	Constantinople	https://www.wikidata.org/wiki/Q16869																													
70.73	*																																			
70.74																																				
70.75		Portugal	Portugal	https://www.wikidata.org/wiki/Q45	Goa	Goa	https://www.wikidata.org/wiki/Q1171																													
70.76																																				
70.77		Madeire	Mad�re	https://www.wikidata.org/wiki/Q26253	Canaries	Îles Canaries	https://www.wikidata.org/wiki/Q5813	Cap de Bonne Esp�rance	cap de Bonne-Espérance	https://www.wikidata.org/wiki/Q4092	Colombo	Colombo	https://www.wikidata.org/wiki/Q35381																							
70.78	*mnt																																			
70.79	nt																																			
70.8	t	Angleterre	Angleterre	https://www.wikidata.org/wiki/Q21																																
70.9	cn																																			
71.1	*																																			
71.10	c																																			
71.11		Normandie	Normandie	https://www.wikidata.org/wiki/Q15878	Martinique	Martinique	https://www.wikidata.org/wiki/Q17054	Afrique	Afrique	https://www.wikidata.org/wiki/Q15																										
71.12		France	France	https://www.wikidata.org/wiki/Q142																																
71.13																																				
71.14																																				
71.15		Orient	Orient	https://www.wikidata.org/wiki/Q205653																																
71.16	nt																																			
71.17		Venise	Venise	https://www.wikidata.org/wiki/Q641																																
71.18	m																																			
71.19	n																																			
71.2	[71.2.]																																			
71.20		Paris	Paris	https://www.wikidata.org/wiki/Q90																																
71.21		Juida (Etat africain)	Royaume hou�da	https://www.wikidata.org/wiki/Q1716449																																
71.22																																				
71.22bis																																				
71.24		France	France	https://www.wikidata.org/wiki/Q142	Allemagne	Allemagne	https://www.wikidata.org/wiki/Q183	Saint-Domingue	Saint-Domingue	https://www.wikidata.org/wiki/Q34820																										
71.26	*																																			
71.27		le royaume des Topinamboux (pr�s du fleuve des Amazones)	le royaume des Topinamboux (pr�s du fleuve des Amazones)		l�ile des F�liciens	l�ile des F�liciens																														
71.28	m																																			
71.29	ct																																			
71.3		province	campagne	https://www.wikidata.org/wiki/Q175185	Paris (XVIe si�cle)	Paris	https://www.wikidata.org/wiki/Q90																													
71.30		Paris	Paris	https://www.wikidata.org/wiki/Q90																																
71.31																																				
71.32	t	cour d�Aquitaine	Aquitaine	https://www.wikidata.org/wiki/Q1179																																
71.33	ct																																			
71.34																																				
71.34bis																																				
71.35																																				
71.37		France	France	https://www.wikidata.org/wiki/Q142																																
71.38	t	Allemagne	Allemagne	https://www.wikidata.org/wiki/Q183	France	France	https://www.wikidata.org/wiki/Q142																													
71.39		province	campagne	https://www.wikidata.org/wiki/Q175185	Paris	Paris	https://www.wikidata.org/wiki/Q90																													
71.4																																				
71.40	c																																			
71.41																																				
71.42		Amsterdam	Amsterdam	https://www.wikidata.org/wiki/Q727	Londres	Londres	https://www.wikidata.org/wiki/Q84																													
71.43	mt																																			
71.44	mt																																			
71.45	nt	Gr�ce antique	Gr�ce antique	https://www.wikidata.org/wiki/Q11772	cadre pastoral	cadre pastoral																														
71.46	t																																			
71.47	t	France	France	https://www.wikidata.org/wiki/Q142																																
71.48	t	Indes	Inde	https://www.wikidata.org/wiki/Q668																																
71.5		France	France	https://www.wikidata.org/wiki/Q142	Italie	Italie	https://www.wikidata.org/wiki/Q38																													
71.6																																				
71.7	t	Angleterre	Angleterre	https://www.wikidata.org/wiki/Q21																																
71.8		France	France	https://www.wikidata.org/wiki/Q142																																
71.9	*																																			
72.1		Reims	Reims	https://www.wikidata.org/wiki/Q41876	Paris	Paris	https://www.wikidata.org/wiki/Q90	Londres	Londres	https://www.wikidata.org/wiki/Q84																										
72.10		Rome	Rome	https://www.wikidata.org/wiki/Q220	Londres	Londres	https://www.wikidata.org/wiki/Q84																													
72.11																																				
72.12		Montpellier	Montpellier	https://www.wikidata.org/wiki/Q6441	Afrique du Nord	Afrique du Nord	https://www.wikidata.org/wiki/Q27381	Malaga	Malaga	https://www.wikidata.org/wiki/Q8851																										
72.13																																				
72.13bis																																				
72.14		Indes	Inde	https://www.wikidata.org/wiki/Q668																																
72.15																																				
