P13		P52		check	1P52		1check	2P52		2check	3P52		3check	4P52		4check	5P52		5check	6P52		6check	7P52		8P52		8check	P52RP14	1P52RP14	2P52RP14	3P52RP14	4P52RP14	5P52RP14	6P52RP14	7P52RP14	8P52RP14
update																												Q1	Q1	Q1	Q1	Q1	Q1	Q1	Q1	Q1
id	s	r_pl	P48 1 Wikidata Label			P48 2 Wikidata Label			P48 3 Wikidata Label			P48 4 Wikidata Label			P48 5 Wikidata Label			P48 6 Wikidata Label			P48 7 Wikidata Label			P48 8 Wikidata Label		P48 9 Wikidata Label										
00.144		province (Bordeaux)	campagne	https://www.wikidata.org/wiki/Q175185		Bordeaux	https://www.wikidata.org/wiki/Q1479	Angleterre	Angleterre	https://www.wikidata.org/wiki/Q21	pays exotiques	pays exotiques																								
00.145		Languedoc (fin Xle si�cle)	Languedoc	https://www.wikidata.org/wiki/Q206221																																
00.146		�le de Saint-Domingue	Hispaniola	https://www.wikidata.org/wiki/Q25277	France	France	https://www.wikidata.org/wiki/Q142																													
00.147		France (Orl�annais)	France	https://www.wikidata.org/wiki/Q142	Am�rique (Nouvelle-Angleterre)	Am�rique	https://www.wikidata.org/wiki/Q828																													
00.148																																				
00.149	t	Londres	Londres	https://www.wikidata.org/wiki/Q84	Indes	Indes	https://www.wikidata.org/wiki/Q26219948	Moyen-Orient	Moyen-Orient	https://www.wikidata.org/wiki/Q7204																										
00.15		Angleterre	Angleterre	https://www.wikidata.org/wiki/Q21																																
00.150	t	Grande-Bretagne	Royaume-Uni	https://www.wikidata.org/wiki/Q145	Am�rique	Amérique	https://www.wikidata.org/wiki/Q828																													
00.151	t	Angleterre	Angleterre	https://www.wikidata.org/wiki/Q21																																
00.152	t	Ecosse	�cosse	https://www.wikidata.org/wiki/Q22																																
00.153	t	Indes	Inde	https://www.wikidata.org/wiki/Q668																																
00.154	t																																			
00.155	mnt	Liban	Liban	https://www.wikidata.org/wiki/Q822	Arabie (moyen �ge)	Arabie	https://www.wikidata.org/wiki/Q31945																													
00.16		Paris	Paris	https://www.wikidata.org/wiki/Q90																																
00.17																																				
00.18		Midi de la France	Midi de la France	https://www.wikidata.org/wiki/Q1237299																																
00.19																																				
00.2	t																																			
00.20	t	Allemagne	Allemagne	https://www.wikidata.org/wiki/Q183																																
00.21		province (Bretagne	campagne	https://www.wikidata.org/wiki/Q175185		Bretagne	https://www.wikidata.org/wiki/Q327	Sens	Sens	https://www.wikidata.org/wiki/Q212420	Marseille	Marseille	https://www.wikidata.org/wiki/Q23482	Avignon...)	Avignon	https://www.wikidata.org/wiki/Q6397																				
00.22																																				
00.23																																				
00.24																																				
00.25																																				
00.26		Angleterre	Angleterre	https://www.wikidata.org/wiki/Q21																																
00.27	t?	Italie (XVe si�cle)	Italie	https://www.wikidata.org/wiki/Q38																																
00.28		France	France	https://www.wikidata.org/wiki/Q142	Suisse	Suisse	https://www.wikidata.org/wiki/Q39																													
00.29		France	France	https://www.wikidata.org/wiki/Q142	pays de Galles	pays de Galles	https://www.wikidata.org/wiki/Q25																													
00.3	t?																																			
00.30																																				
00.31																																				
00.32	t?																																			
00.33	t																																			
00.34																																				
00.35		France	France	https://www.wikidata.org/wiki/Q142																																
00.36		Angleterre (�poque de la Guerre Civile)	Angleterre	https://www.wikidata.org/wiki/Q21																																
00.38	nt																																			
00.39		France	France	https://www.wikidata.org/wiki/Q142	Suisse	Suisse	https://www.wikidata.org/wiki/Q39	Italie	Italie	https://www.wikidata.org/wiki/Q38	Levant	Levant	https://www.wikidata.org/wiki/Q81483	Portugal	Portugal	https://www.wikidata.org/wiki/Q45	Angleterre (�poque de la R�volution)	Angleterre	https://www.wikidata.org/wiki/Q21																	
00.4	t?	France	France	https://www.wikidata.org/wiki/Q142																																
00.40		Paris	Paris	https://www.wikidata.org/wiki/Q90																																
00.41																																				
00.42	t	Saragosse	Saragosse	https://www.wikidata.org/wiki/Q10305																																
00.43		Paris	Paris	https://www.wikidata.org/wiki/Q90	province	campagne	https://www.wikidata.org/wiki/Q175185	Alger	Alger	https://www.wikidata.org/wiki/Q3561																										
00.44		Angleterre	Angleterre	https://www.wikidata.org/wiki/Q21	Ecosse (XVIIe si�cle)	Écosse	https://www.wikidata.org/wiki/Q22																													
00.45	m																																			
00.46	nt																																			
00.47	t																																			
00.48		Angleterre (Kent)	Angleterre	https://www.wikidata.org/wiki/Q21		Kent	https://www.wikidata.org/wiki/Q23298																													
00.49		Saint-Domingue	Hispaniola	https://www.wikidata.org/wiki/Q25277	�le d�serte	île inhabitée	https://www.wikidata.org/wiki/Q1065592																													
00.5																																				
00.50																																				
00.51		province (XIIIe si�cle)	campagne	https://www.wikidata.org/wiki/Q175185																																
00.52																																				
00.53	t																																			
00.54		Italie	Italie	https://www.wikidata.org/wiki/Q38																																
