title-fr	title-en	title-de		P31					check
Locus amoenus	Locus amoenus	Locus amoenus	Q739317	https://www.wikidata.org/wiki/Q739317	locus amoenus	locus amoenus	Locus amoenus	Topic Modeling	exact match
lune	moon	Mond		https://www.wikidata.org/wiki/Q405	lune	moon	Mond	BGRF	exact match
monastère	monastery	Kloster		https://www.wikidata.org/wiki/Q44613	monastère	monastery	Kloster	BGRF	exact match
montagne	mountain	Berg	Q8502	https://www.wikidata.org/wiki/Q8502	montagne	mountain	Berg	DEL	exact match
musée	museum	Museum	Q33506	https://www.wikidata.org/wiki/Q33506	musée	museum	Museum	DEL	exact match
observatoire	observatory	Observatorium	Q62832	https://www.wikidata.org/wiki/Q62832	observatoire	observatory	Observatorium	DEL	exact match
opéra	opera	Oper	Q1344	https://www.wikidata.org/wiki/Q1344	opéra	opera	Oper	DEL	exact match
Orient	Orient	Orient	Q205653	https://www.wikidata.org/wiki/Q205653	orient	orient	Orient	BGRF/DEL	exact match
paradis	paradise	Paradies	Q3363340	https://www.wikidata.org/wiki/Q3363340	paradis	paradise	Paradies	Seklit	exact match
paysage	landscape	Landschaft	Q107425	https://www.wikidata.org/wiki/Q107425	paysage	landscape	Landschaft	DEL	exact match
Pologne	Poland	Polen	Q36	https://www.wikidata.org/wiki/Q36	Pologne	Poland	Polen	DEL	exact match
port	port	Hafen	Q44782	https://www.wikidata.org/wiki/Q44782	Port	port	Hafen	DEL	exact match
Portugal	Portugal	Portugal	Q45	https://www.wikidata.org/wiki/Q45	Portugal	Portugal	Portugal	DEL	exact match
prison	prison	Gefängnis	Q40357	https://www.wikidata.org/wiki/Q40357	prison	prison	Gefängnis	BGRF/DEL	exact match
Proche-Orient	Near East	Naher Osten		https://www.wikidata.org/wiki/Q48214	Proche-Orient	Near East	Naher Osten	Seklit.	
ruine	ruin	Ruine	Q109607	https://www.wikidata.org/wiki/Q109607	ruine	ruins	Ruine	BGRF/DEL	close match
Russie	Russia	Russland	Q159	https://www.wikidata.org/wiki/Q159	Russie	Russia	Russland	DEL	exact match
Saint-Empire romain germanique	Holy Roman Empire	Heiliges Römisches Reich	Q12548	https://www.wikidata.org/wiki/Q12548	Saint-Empire romain germanique	Holy Roman Empire	Heiliges Römisches Reich	DEL	exact match
salon	salon	Salon	Q576342	https://www.wikidata.org/wiki/Q576342	salon	salon	literarischer Salon	DEL	exact match
Suède	Sweden	Schweden	Q34	https://www.wikidata.org/wiki/Q34	Suède	Sweden	Schweden	DEL	exact match
Suisse	Switzerland	Schweiz	Q39	https://www.wikidata.org/wiki/Q39	Suisse	Switzerland	Schweiz	DEL	exact match
système solaire	solar system	Sonnensystem	Q544	https://www.wikidata.org/wiki/Q544	système solaire	Solar system	Sonnensystem	DEL	exact match
terre	earth	Erde	Q2	https://www.wikidata.org/wiki/Q2	Terre	Earth	Erde	DEL	exact match
théâtre	theater	Theater	Q11635	https://www.wikidata.org/wiki/Q11635	théâtre	theater	Theater	DEL	exact match
village	village	Dorf	Q532	https://www.wikidata.org/wiki/Q532	village	village	Dorf	DEL	exact match
ville	city	Stadt	Q515	https://www.wikidata.org/wiki/Q515	ville	city	Stadt	DEL	exact match
