"P13"		"P47"	"P55"	"P55RP14"
"update"				"Q1"
	"check item"	"minimale Korrekturen"	"neu: Mapping der Strings auf 7 Werte"	"stated in Q1"
"98.4"		"1re personne, avec récits intercalés 1re personne"	"autodiegetic"	
"99.135"		"1re personne, avec récits intercalés 1re personne"	"autodiegetic"	
"99.173"		"1re personne, avec récits intercalés 1re personne"	"autodiegetic"	
"99.22"		"1re personne, avec récits intercalés 1re personne"	"autodiegetic"	
"69.6"		"1re personne, avec récits intercalés 1re personne et lettres"	"autodiegetic"	
"51.37"		"1re personne, avec récits intercalés 3e personne"	"autodiegetic"	
"99.69"		"1re personne, avec un récit intercalé 1re personne"	"autodiegetic"	
"60.25"		"1re personne, confession"	"autodiegetic"	
"77.3"		"1re personne, dialogue et lettres"	"mixed"	
"00.19"		"1re personne, dialogues et lettres"	"mixed"	
"56.7"		"1re personne, lettres et dialogues"	"mixed"	
"66.12"		"1re personne, mais ce n’est pas le personnage principal qui raconte"	"homodiegetic"	
"67.42"	"t"	"1re personne, mais le narrateur n’est pas le personnage principal"	"homodiegetic"	
"96.23"		"1re personne, mais le narrateur n’est pas le personnage principal"	"homodiegetic"	
"55.14"		"1re personne, mémoires"	"autodiegetic"	
"55.24"		"1re personne, mémoires"	"autodiegetic"	
"56.1"		"1re personne, mémoires"	"autodiegetic"	
"56.2"		"1re personne, mémoires"	"autodiegetic"	
"56.28"	"c_MH"	"1re personne, mémoires"	"autodiegetic"	
"59.8"		"1re personne, mémoires"	"autodiegetic"	
"60.20"		"1re personne, mémoires"	"autodiegetic"	
"63.11"		"1re personne, mémoires en sept lettres"	"mixed"	
"66.15"		"1re personne, mémoires entrecoupés de récits"	"mixed"	
"56.25"		"1re personne, mémoires, avec récits intercalés 1re personne"	"autodiegetic"	
"55.27"		"1re personne, prose entremêlée de vers"	"mixed"	
"57.13"	"mt"	"1re personne, rêve"	"mixed"	
"56.8"		"1re personne: le narrateur répète un récit 1re personne, avec un autre récit intercalé 1re personne, qu’il avait entendu dans le parloir d’un couvent"	"homodiegetic"	
"00.102"		"3e personne"	"heterodiegetic"	
"00.104"		"3e personne"	"heterodiegetic"	
"00.105"		"3e personne"	"heterodiegetic"	
"00.114"		"3e personne"	"heterodiegetic"	
"00.118"		"3e personne"	"heterodiegetic"	
"00.119"		"3e personne"	"heterodiegetic"	
"00.120"		"3e personne"	"heterodiegetic"	
"00.121"		"3e personne"	"heterodiegetic"	
"00.122"		"3e personne"	"heterodiegetic"	
"00.123"		"3e personne"	"heterodiegetic"	
"00.124"	"t"	"3e personne"	"heterodiegetic"	
"00.126"	"t"	"3e personne"	"heterodiegetic"	
"00.131"		"3e personne"	"heterodiegetic"	
"00.136"		"3e personne"	"heterodiegetic"	
"00.140"	"t"	"3e personne"	"heterodiegetic"	
"00.141"	"t"	"3e personne"	"heterodiegetic"	
"00.143"	"t"	"3e personne"	"heterodiegetic"	
"00.145"		"3e personne"	"heterodiegetic"	
"00.146"		"3e personne"	"heterodiegetic"	
"00.147"		"3e personne"	"heterodiegetic"	
"00.150"	"t"	"3e personne"	"heterodiegetic"	
"00.152"	"t"	"3e personne"	"heterodiegetic"	
"00.155"	"mnt"	"3e personne"	"heterodiegetic"	
"00.18"		"3e personne"	"heterodiegetic"	
"00.20"	"t"	"3e personne"	"heterodiegetic"	
"00.26"		"3e personne"	"heterodiegetic"	
"00.27"	"t?"	"3e personne"	"heterodiegetic"	
"00.40"		"3e personne"	"heterodiegetic"	
"00.42"	"t"	"3e personne"	"heterodiegetic"	
"00.44"		"3e personne"	"heterodiegetic"	
"00.55"		"3e personne"	"heterodiegetic"	
"00.60"		"3e personne"	"heterodiegetic"	
"00.61"		"3e personne"	"heterodiegetic"	
"00.68"		"3e personne"	"heterodiegetic"	
"00.70"	"t"	"3e personne"	"heterodiegetic"	
"00.72"		"3e personne"	"heterodiegetic"	
"00.81"		"3e personne"	"heterodiegetic"	
"00.85"	"t"	"3e personne"	"heterodiegetic"	
"00.9"		"3e personne"	"heterodiegetic"	
"00.92bis"	"t"	"3e personne"	"heterodiegetic"	
"00.97"	"t?"	"3e personne"	"heterodiegetic"	
"00.99"	"t"	"3e personne"	"heterodiegetic"	
"51.1"		"3e personne"	"heterodiegetic"	
"51.15"		"3e personne"	"heterodiegetic"	
"51.21"		"3e personne"	"heterodiegetic"	
"51.23"		"3e personne"	"heterodiegetic"	
"51.24"		"3e personne"	"heterodiegetic"	
"51.3"		"3e personne"	"heterodiegetic"	
"51.33"		"3e personne"	"heterodiegetic"	
"51.34"		"3e personne"	"heterodiegetic"	
"51.38"		"3e personne"	"heterodiegetic"	
"51.39"		"3e personne"	"heterodiegetic"	
"51.4"		"3e personne"	"heterodiegetic"	
"51.41"		"3e personne"	"heterodiegetic"	
"51.5"		"3e personne"	"heterodiegetic"	
"52.14"		"3e personne"	"heterodiegetic"	
"52.15"		"3e personne"	"heterodiegetic"	
"52.18"		"3e personne"	"heterodiegetic"	
"52.21"	"t"	"3e personne"	"heterodiegetic"	
"52.22"	"nt"	"3e personne"	"heterodiegetic"	
"52.28"		"3e personne"	"heterodiegetic"	
"52.32"		"3e personne"	"heterodiegetic"	
"52.33"		"3e personne"	"heterodiegetic"	
"52.36"		"3e personne"	"heterodiegetic"	
"52.4"		"3e personne"	"heterodiegetic"	
"52.9"		"3e personne"	"heterodiegetic"	
"53.11"		"3e personne"	"heterodiegetic"	
"53.19"		"3e personne"	"heterodiegetic"	
"53.2"	"t"	"3e personne"	"heterodiegetic"	
"53.23"		"3e personne"	"heterodiegetic"	
"53.31"		"3e personne"	"heterodiegetic"	
"53.8"		"3e personne"	"heterodiegetic"	
"54.14"		"3e personne"	"heterodiegetic"	
"54.17"	"t"	"3e personne"	"heterodiegetic"	
"54.22"		"3e personne"	"heterodiegetic"	
"54.23"		"3e personne"	"heterodiegetic"	
"54.30"		"3e personne"	"heterodiegetic"	
"54.6"	"cnt"	"3e personne"	"heterodiegetic"	
"54.7"	"ct"	"3e personne"	"heterodiegetic"	
"55.13"	"cnt"	"3e personne"	"heterodiegetic"	
"55.17"		"3e personne"	"heterodiegetic"	
"55.18"		"3e personne"	"heterodiegetic"	
"55.23"		"3e personne"	"heterodiegetic"	
"55.28"		"3e personne"	"heterodiegetic"	
"55.32"		"3e personne"	"heterodiegetic"	
"55.4"		"3e personne"	"heterodiegetic"	
"56.10"		"3e personne"	"heterodiegetic"	
"56.12"		"3e personne"	"heterodiegetic"	
"56.14"		"3e personne"	"heterodiegetic"	
"56.17"	"n"	"3e personne"	"heterodiegetic"	
"56.20"	"c_MH"	"3e personne"	"heterodiegetic"	
"56.23"		"3e personne"	"heterodiegetic"	
"56.29"	"n"	"3e personne"	"heterodiegetic"	
"57.17"		"3e personne"	"heterodiegetic"	
"57.7"	"t"	"3e personne"	"heterodiegetic"	
"57.8"	"nt"	"3e personne"	"heterodiegetic"	
"58.12"		"3e personne"	"heterodiegetic"	
"58.18"		"3e personne"	"heterodiegetic"	
"58.2"		"3e personne"	"heterodiegetic"	
"58.6"	"nt"	"3e personne"	"heterodiegetic"	
"58.7"		"3e personne"	"heterodiegetic"	
"59.10"		"3e personne"	"heterodiegetic"	
"59.12"		"3e personne"	"heterodiegetic"	
"59.23"		"3e personne"	"heterodiegetic"	
"59.26"		"3e personne"	"heterodiegetic"	
"59.9"		"3e personne"	"heterodiegetic"	
"60.16"	"t"	"3e personne"	"heterodiegetic"	
"60.18"		"3e personne"	"heterodiegetic"	
"60.24"		"3e personne"	"heterodiegetic"	
"60.29"		"3e personne"	"heterodiegetic"	
"60.33"		"3e personne"	"heterodiegetic"	
"60.34"		"3e personne"	"heterodiegetic"	
"60.6"		"3e personne"	"heterodiegetic"	
"61.10"	"c_MH"	"3e personne"	"heterodiegetic"	
"61.11"		"3e personne"	"heterodiegetic"	
"61.15"		"3e personne"	"heterodiegetic"	
"61.19"		"3e personne"	"heterodiegetic"	
"61.2"		"3e personne"	"heterodiegetic"	
"61.22"		"3e personne"	"heterodiegetic"	
"61.3"		"3e personne"	"heterodiegetic"	
"62.14"		"3e personne"	"heterodiegetic"	
"62.2"		"3e personne"	"heterodiegetic"	
"62.23"		"3e personne"	"heterodiegetic"	
"62.27"		"3e personne"	"heterodiegetic"	
"62.28"		"3e personne"	"heterodiegetic"	
"62.36"		"3e personne"	"heterodiegetic"	
"62.9"		"3e personne"	"heterodiegetic"	
"63.12"		"3e personne"	"heterodiegetic"	
"63.16"		"3e personne"	"heterodiegetic"	
"63.20"	"t"	"3e personne"	"heterodiegetic"	
"63.21"		"3e personne"	"heterodiegetic"	
"63.27"	"t"	"3e personne"	"heterodiegetic"	
"63.30"		"3e personne"	"heterodiegetic"	
"63.31"	"t"	"3e personne"	"heterodiegetic"	
"63.9"		"3e personne"	"heterodiegetic"	
"64.3"		"3e personne"	"heterodiegetic"	
"64.37"	"mnt"	"3e personne"	"heterodiegetic"	
"64.41"		"3e personne"	"heterodiegetic"	
"64.43"		"3e personne"	"heterodiegetic"	
"64.46"	"mt"	"3e personne"	"heterodiegetic"	
"65.1"		"3e personne"	"heterodiegetic"	
"65.11"		"3e personne"	"heterodiegetic"	
"65.23"		"3e personne"	"heterodiegetic"	
"65.26"		"3e personne"	"heterodiegetic"	
"65.28"	"nt"	"3e personne"	"heterodiegetic"	
"65.37"	"n"	"3e personne"	"heterodiegetic"	
"65.39"		"3e personne"	"heterodiegetic"	
"65.43"		"3e personne"	"heterodiegetic"	
"65.45"		"3e personne"	"heterodiegetic"	
"66.1"		"3e personne"	"heterodiegetic"	
"66.24"		"3e personne"	"heterodiegetic"	
"66.30"		"3e personne"	"heterodiegetic"	
"66.33"		"3e personne"	"heterodiegetic"	
"66.34"		"3e personne"	"heterodiegetic"	
"66.36"		"3e personne"	"heterodiegetic"	
"66.37"		"3e personne"	"heterodiegetic"	
"66.4"	"nt"	"3e personne"	"heterodiegetic"	
"66.40"		"3e personne"	"heterodiegetic"	
"66.8"		"3e personne"	"heterodiegetic"	
"67.14"		"3e personne"	"heterodiegetic"	
"67.16"		"3e personne"	"heterodiegetic"	
"67.17"		"3e personne"	"heterodiegetic"	
"67.18"		"3e personne"	"heterodiegetic"	
"67.2"	"t"	"3e personne"	"heterodiegetic"	
"67.21"		"3e personne"	"heterodiegetic"	
"67.22"		"3e personne"	"heterodiegetic"	
"67.32"		"3e personne"	"heterodiegetic"	
"67.38"		"3e personne"	"heterodiegetic"	
"67.41"		"3e personne"	"heterodiegetic"	
"67.45"		"3e personne"	"heterodiegetic"	
"67.52"		"3e personne"	"heterodiegetic"	
"67.53"	"t"	"3e personne"	"heterodiegetic"	
"68.13"		"3e personne"	"heterodiegetic"	
"68.22"		"3e personne"	"heterodiegetic"	
"68.23"		"3e personne"	"heterodiegetic"	
"68.36"		"3e personne"	"heterodiegetic"	
"68.38"		"3e personne"	"heterodiegetic"	
"68.41"		"3e personne"	"heterodiegetic"	
"68.43"		"3e personne"	"heterodiegetic"	
"68.5"		"3e personne"	"heterodiegetic"	
"68.52"		"3e personne"	"heterodiegetic"	
"68.56"		"3e personne"	"heterodiegetic"	
"68.8"	"t"	"3e personne"	"heterodiegetic"	
"68.9"		"3e personne"	"heterodiegetic"	
"69.1"	"t"	"3e personne"	"heterodiegetic"	
"69.10"		"3e personne"	"heterodiegetic"	
"69.12"		"3e personne"	"heterodiegetic"	
"69.13"		"3e personne"	"heterodiegetic"	
"69.14"		"3e personne"	"heterodiegetic"	
"69.15"		"3e personne"	"heterodiegetic"	
"69.17"		"3e personne"	"heterodiegetic"	
"69.23"		"3e personne"	"heterodiegetic"	
"69.25"		"3e personne"	"heterodiegetic"	
"69.26"		"3e personne"	"heterodiegetic"	
"69.36"		"3e personne"	"heterodiegetic"	
"69.52"		"3e personne"	"heterodiegetic"	
"69.60"		"3e personne"	"heterodiegetic"	
"69.62"	"t"	"3e personne"	"heterodiegetic"	
"69.63"		"3e personne"	"heterodiegetic"	
"69.67"		"3e personne"	"heterodiegetic"	
"69.68"	"t"	"3e personne"	"heterodiegetic"	
"69.70"	"t"	"3e personne"	"heterodiegetic"	
"70.15"	"t"	"3e personne"	"heterodiegetic"	
"70.16"		"3e personne"	"heterodiegetic"	
"70.17"		"3e personne"	"heterodiegetic"	
"70.22"		"3e personne"	"heterodiegetic"	
"70.23"		"3e personne"	"heterodiegetic"	
"70.27"		"3e personne"	"heterodiegetic"	
"70.3"		"3e personne"	"heterodiegetic"	
"70.35"		"3e personne"	"heterodiegetic"	
"70.36"		"3e personne"	"heterodiegetic"	
"70.5"	"t"	"3e personne"	"heterodiegetic"	
"70.51"	"t"	"3e personne"	"heterodiegetic"	
"70.56"		"3e personne"	"heterodiegetic"	
"70.71"		"3e personne"	"heterodiegetic"	
"70.75"		"3e personne"	"heterodiegetic"	
"71.16"	"nt"	"3e personne"	"heterodiegetic"	
"71.20"		"3e personne"	"heterodiegetic"	
"71.3"		"3e personne"	"heterodiegetic"	
"71.39"		"3e personne"	"heterodiegetic"	
"71.41"		"3e personne"	"heterodiegetic"	
"71.44"	"mt"	"3e personne"	"heterodiegetic"	
"71.45"	"nt"	"3e personne"	"heterodiegetic"	
"71.47"	"t"	"3e personne"	"heterodiegetic"	
"71.8"		"3e personne"	"heterodiegetic"	
"72.1"		"3e personne"	"heterodiegetic"	
"72.10"		"3e personne"	"heterodiegetic"	
"72.11"		"3e personne"	"heterodiegetic"	
"72.15"		"3e personne"	"heterodiegetic"	
"72.22"	"t"	"3e personne"	"heterodiegetic"	
"72.24bis"		"3e personne"	"heterodiegetic"	
"72.29"		"3e personne"	"heterodiegetic"	
"72.34"		"3e personne"	"heterodiegetic"	
"72.35"		"3e personne"	"heterodiegetic"	
"73.13"		"3e personne"	"heterodiegetic"	
"73.15"		"3e personne"	"heterodiegetic"	
"73.16"		"3e personne"	"heterodiegetic"	
"73.21"		"3e personne"	"heterodiegetic"	
"73.22"		"3e personne"	"heterodiegetic"	
"73.27"		"3e personne"	"heterodiegetic"	
"73.3"		"3e personne"	"heterodiegetic"	
"73.30"	"t"	"3e personne"	"heterodiegetic"	
"73.31"		"3e personne"	"heterodiegetic"	
"73.32"		"3e personne"	"heterodiegetic"	
"73.33"		"3e personne"	"heterodiegetic"	
"73.34"		"3e personne"	"heterodiegetic"	
"73.35"		"3e personne"	"heterodiegetic"	
"73.36"		"3e personne"	"heterodiegetic"	
"73.9"		"3e personne"	"heterodiegetic"	
"74.10"		"3e personne"	"heterodiegetic"	
"74.11"		"3e personne"	"heterodiegetic"	
"74.19"		"3e personne"	"heterodiegetic"	
"74.25"	"t"	"3e personne"	"heterodiegetic"	
"74.29"		"3e personne"	"heterodiegetic"	
"74.30"		"3e personne"	"heterodiegetic"	
"74.31"		"3e personne"	"heterodiegetic"	
"74.32"		"3e personne"	"heterodiegetic"	
"74.33"		"3e personne"	"heterodiegetic"	
"74.4"		"3e personne"	"heterodiegetic"	
"74.6"		"3e personne"	"heterodiegetic"	
"74.7"		"3e personne"	"heterodiegetic"	
"74.9"		"3e personne"	"heterodiegetic"	
"75.13"		"3e personne"	"heterodiegetic"	
"75.15"		"3e personne"	"heterodiegetic"	
"75.16"		"3e personne"	"heterodiegetic"	
"75.18"		"3e personne"	"heterodiegetic"	
"75.20"		"3e personne"	"heterodiegetic"	
"75.27"		"3e personne"	"heterodiegetic"	
"75.29"	"t"	"3e personne"	"heterodiegetic"	
"75.30"		"3e personne"	"heterodiegetic"	
"75.33"	"t"	"3e personne"	"heterodiegetic"	
"75.36"		"3e personne"	"heterodiegetic"	
"75.40"		"3e personne"	"heterodiegetic"	
"75.41"		"3e personne"	"heterodiegetic"	
"75.42"		"3e personne"	"heterodiegetic"	
"75.43"		"3e personne"	"heterodiegetic"	
"75.45"		"3e personne"	"heterodiegetic"	
"75.5"		"3e personne"	"heterodiegetic"	
"76.12"		"3e personne"	"heterodiegetic"	
"76.14"		"3e personne"	"heterodiegetic"	
"76.17"		"3e personne"	"heterodiegetic"	
"76.24"		"3e personne"	"heterodiegetic"	
"76.28bis"		"3e personne"	"heterodiegetic"	
"76.32"		"3e personne"	"heterodiegetic"	
"76.39"		"3e personne"	"heterodiegetic"	
"76.48"		"3e personne"	"heterodiegetic"	
"76.50"		"3e personne"	"heterodiegetic"	
"77.10"		"3e personne"	"heterodiegetic"	
"77.11"		"3e personne"	"heterodiegetic"	
"77.13"		"3e personne"	"heterodiegetic"	
"77.19"	"m"	"3e personne"	"heterodiegetic"	
"77.38"		"3e personne"	"heterodiegetic"	
"77.48"		"3e personne"	"heterodiegetic"	
"77.8"		"3e personne"	"heterodiegetic"	
"77.9"		"3e personne"	"heterodiegetic"	
"78.14"	"t"	"3e personne"	"heterodiegetic"	
"78.15"		"3e personne"	"heterodiegetic"	
"78.16"		"3e personne"	"heterodiegetic"	
"78.17"	"t"	"3e personne"	"heterodiegetic"	
"78.19"		"3e personne"	"heterodiegetic"	
"78.2"		"3e personne"	"heterodiegetic"	
"78.25"		"3e personne"	"heterodiegetic"	
"78.31"		"3e personne"	"heterodiegetic"	
"78.33"		"3e personne"	"heterodiegetic"	
"78.34"		"3e personne"	"heterodiegetic"	
"78.5"		"3e personne"	"heterodiegetic"	
"78.9"		"3e personne"	"heterodiegetic"	
"79.18"		"3e personne"	"heterodiegetic"	
"79.29"		"3e personne"	"heterodiegetic"	
"79.30"		"3e personne"	"heterodiegetic"	
"79.31"		"3e personne"	"heterodiegetic"	
"79.33"		"3e personne"	"heterodiegetic"	
"79.34"		"3e personne"	"heterodiegetic"	
"79.35"		"3e personne"	"heterodiegetic"	
"79.6"		"3e personne"	"heterodiegetic"	
"79.8"		"3e personne"	"heterodiegetic"	
"79.9"		"3e personne"	"heterodiegetic"	
"80.10"		"3e personne"	"heterodiegetic"	
"80.11"		"3e personne"	"heterodiegetic"	
"80.16"		"3e personne"	"heterodiegetic"	
"80.17"		"3e personne"	"heterodiegetic"	
"80.2"		"3e personne"	"heterodiegetic"	
"80.25"	"nt"	"3e personne"	"heterodiegetic"	
"80.28"		"3e personne"	"heterodiegetic"	
"80.29"		"3e personne"	"heterodiegetic"	
"80.31"		"3e personne"	"heterodiegetic"	
"80.32"		"3e personne"	"heterodiegetic"	
"80.33"		"3e personne"	"heterodiegetic"	
"80.34"	"mnt"	"3e personne"	"heterodiegetic"	
"80.5"		"3e personne"	"heterodiegetic"	
"80.9"		"3e personne"	"heterodiegetic"	
"81.10"		"3e personne"	"heterodiegetic"	
"81.18"		"3e personne"	"heterodiegetic"	
"81.20"		"3e personne"	"heterodiegetic"	
"81.23"		"3e personne"	"heterodiegetic"	
"81.28"		"3e personne"	"heterodiegetic"	
"81.32"		"3e personne"	"heterodiegetic"	
"81.6"		"3e personne"	"heterodiegetic"	
"81.8"		"3e personne"	"heterodiegetic"	
"81.9"		"3e personne"	"heterodiegetic"	
"82.16"	"t"	"3e personne"	"heterodiegetic"	
"82.2"		"3e personne"	"heterodiegetic"	
"82.21"	"t"	"3e personne"	"heterodiegetic"	
"82.26"		"3e personne"	"heterodiegetic"	
"82.31"		"3e personne"	"heterodiegetic"	
"82.32"		"3e personne"	"heterodiegetic"	
"82.34"	"c_MH"	"3e personne"	"heterodiegetic"	
"82.9"		"3e personne"	"heterodiegetic"	
"83.10"		"3e personne"	"heterodiegetic"	
"83.11"		"3e personne"	"heterodiegetic"	
"83.13"	"t"	"3e personne"	"heterodiegetic"	
"83.16"		"3e personne"	"heterodiegetic"	
"83.18"		"3e personne"	"heterodiegetic"	
"83.2"		"3e personne"	"heterodiegetic"	
"83.20"		"3e personne"	"heterodiegetic"	
"83.36"		"3e personne"	"heterodiegetic"	
"83.39"	"t"	"3e personne"	"heterodiegetic"	
"83.4"		"3e personne"	"heterodiegetic"	
"83.41"		"3e personne"	"heterodiegetic"	
"83.43"	"t"	"3e personne"	"heterodiegetic"	
"83.5"		"3e personne"	"heterodiegetic"	
"83.51"		"3e personne"	"heterodiegetic"	
"83.56"		"3e personne"	"heterodiegetic"	
"83.57"		"3e personne"	"heterodiegetic"	
"84.1"		"3e personne"	"heterodiegetic"	
"84.16"		"3e personne"	"heterodiegetic"	
"84.20"		"3e personne"	"heterodiegetic"	
"84.22"		"3e personne"	"heterodiegetic"	
"84.26"		"3e personne"	"heterodiegetic"	
"84.29"		"3e personne"	"heterodiegetic"	
"84.34"		"3e personne"	"heterodiegetic"	
"84.36"		"3e personne"	"heterodiegetic"	
"84.37"		"3e personne"	"heterodiegetic"	
"84.38"		"3e personne"	"heterodiegetic"	
"84.4"		"3e personne"	"heterodiegetic"	
"84.41"		"3e personne"	"heterodiegetic"	
"84.53"		"3e personne"	"heterodiegetic"	
"84.54"	"t"	"3e personne"	"heterodiegetic"	
"84.62"	"mt"	"3e personne"	"heterodiegetic"	
"84.64"		"3e personne"	"heterodiegetic"	
"84.9"		"3e personne"	"heterodiegetic"	
"85.10"		"3e personne"	"heterodiegetic"	
"85.13"		"3e personne"	"heterodiegetic"	
"85.15"	"t?"	"3e personne"	"heterodiegetic"	
"85.16"		"3e personne"	"heterodiegetic"	
"85.2"		"3e personne"	"heterodiegetic"	
"85.26"		"3e personne"	"heterodiegetic"	
"85.30"	"t"	"3e personne"	"heterodiegetic"	
"85.33"		"3e personne"	"heterodiegetic"	
"85.36"		"3e personne"	"heterodiegetic"	
"85.38"		"3e personne"	"heterodiegetic"	
"85.42"		"3e personne"	"heterodiegetic"	
"85.7"		"3e personne"	"heterodiegetic"	
"86.10"		"3e personne"	"heterodiegetic"	
"86.3"	"t"	"3e personne"	"heterodiegetic"	
"86.4"	"t?"	"3e personne"	"heterodiegetic"	
"86.43"		"3e personne"	"heterodiegetic"	
"86.44"		"3e personne"	"heterodiegetic"	
"86.45"		"3e personne"	"heterodiegetic"	
"86.46"		"3e personne"	"heterodiegetic"	
"86.53"	"t"	"3e personne"	"heterodiegetic"	
"86.6"		"3e personne"	"heterodiegetic"	
"86.63"		"3e personne"	"heterodiegetic"	
"86.7"		"3e personne"	"heterodiegetic"	
"87.10"	"t"	"3e personne"	"heterodiegetic"	
"87.11"	"t"	"3e personne"	"heterodiegetic"	
"87.13"		"3e personne"	"heterodiegetic"	
"87.16"		"3e personne"	"heterodiegetic"	
"87.29"		"3e personne"	"heterodiegetic"	
"87.3"	"t"	"3e personne"	"heterodiegetic"	
"87.31"	"t_MH?"	"3e personne"	"heterodiegetic"	
"87.33"		"3e personne"	"heterodiegetic"	
"87.34"		"3e personne"	"heterodiegetic"	
"87.38"		"3e personne"	"heterodiegetic"	
"87.47"	"nt"	"3e personne"	"heterodiegetic"	
"87.48"	"t"	"3e personne"	"heterodiegetic"	
"87.61"		"3e personne"	"heterodiegetic"	
"87.64"	"t"	"3e personne"	"heterodiegetic"	
"88.102"	"t"	"3e personne"	"heterodiegetic"	
"88.105"		"3e personne"	"heterodiegetic"	
"88.106"		"3e personne"	"heterodiegetic"	
"88.22"	"t"	"3e personne"	"heterodiegetic"	
"88.24"		"3e personne"	"heterodiegetic"	
"88.25"		"3e personne"	"heterodiegetic"	
"88.28"	"t"	"3e personne"	"heterodiegetic"	
"88.29"	"t"	"3e personne"	"heterodiegetic"	
"88.31"	"t"	"3e personne"	"heterodiegetic"	
"88.34"	"t"	"3e personne"	"heterodiegetic"	
"88.35"	"t"	"3e personne"	"heterodiegetic"	
"88.42"		"3e personne"	"heterodiegetic"	
"88.7"	"t"	"3e personne"	"heterodiegetic"	
"88.71"	"t"	"3e personne"	"heterodiegetic"	
"88.91"		"3e personne"	"heterodiegetic"	
"88.92"		"3e personne"	"heterodiegetic"	
"88.97"		"3e personne"	"heterodiegetic"	
"89.101"	"t?"	"3e personne"	"heterodiegetic"	
"89.106"	"mt"	"3e personne"	"heterodiegetic"	
"89.107"	"t"	"3e personne"	"heterodiegetic"	
"89.108"		"3e personne"	"heterodiegetic"	
"89.14"	"t"	"3e personne"	"heterodiegetic"	
"89.16"		"3e personne"	"heterodiegetic"	
"89.22"		"3e personne"	"heterodiegetic"	
"89.24"		"3e personne"	"heterodiegetic"	
"89.32"		"3e personne"	"heterodiegetic"	
"89.34"	"?"	"3e personne"	"heterodiegetic"	
"89.58"		"3e personne"	"heterodiegetic"	
"89.61"	"t"	"3e personne"	"heterodiegetic"	
"89.63"		"3e personne"	"heterodiegetic"	
"89.64"		"3e personne"	"heterodiegetic"	
"89.70"		"3e personne"	"heterodiegetic"	
"89.71"	"t"	"3e personne"	"heterodiegetic"	
"89.73"	"t"	"3e personne"	"heterodiegetic"	
"89.8"		"3e personne"	"heterodiegetic"	
"89.85"		"3e personne"	"heterodiegetic"	
"89.88"	"t"	"3e personne"	"heterodiegetic"	
"89.97"	"t"	"3e personne"	"heterodiegetic"	
"89.98"		"3e personne"	"heterodiegetic"	
"90.11"		"3e personne"	"heterodiegetic"	
"90.12"		"3e personne"	"heterodiegetic"	
"90.17"		"3e personne"	"heterodiegetic"	
"90.2"		"3e personne"	"heterodiegetic"	
"90.31"		"3e personne"	"heterodiegetic"	
"90.34"		"3e personne"	"heterodiegetic"	
"90.39"	"t"	"3e personne"	"heterodiegetic"	
"90.4"	"t"	"3e personne"	"heterodiegetic"	
"90.40"		"3e personne"	"heterodiegetic"	
"90.44"		"3e personne"	"heterodiegetic"	
"90.48"		"3e personne"	"heterodiegetic"	
"90.54"		"3e personne"	"heterodiegetic"	
"90.56"		"3e personne"	"heterodiegetic"	
"90.66"	"t"	"3e personne"	"heterodiegetic"	
"90.9"		"3e personne"	"heterodiegetic"	
"91.18"		"3e personne"	"heterodiegetic"	
"91.28"	"t"	"3e personne"	"heterodiegetic"	
"91.5"		"3e personne"	"heterodiegetic"	
"92.15"	"t"	"3e personne"	"heterodiegetic"	
"92.16"		"3e personne"	"heterodiegetic"	
"92.18"	"t"	"3e personne"	"heterodiegetic"	
"92.21"	"t"	"3e personne"	"heterodiegetic"	
"92.24"		"3e personne"	"heterodiegetic"	
"92.30"		"3e personne"	"heterodiegetic"	
"92.39"		"3e personne"	"heterodiegetic"	
"92.6"	"t"	"3e personne"	"heterodiegetic"	
"92.8"		"3e personne"	"heterodiegetic"	
"92.9"		"3e personne"	"heterodiegetic"	
"93.13"		"3e personne"	"heterodiegetic"	
"93.15"		"3e personne"	"heterodiegetic"	
"93.6"		"3e personne"	"heterodiegetic"	
"94.10"	"t"	"3e personne"	"heterodiegetic"	
"94.15"		"3e personne"	"heterodiegetic"	
"94.7"		"3e personne"	"heterodiegetic"	
"94.9"	"t"	"3e personne"	"heterodiegetic"	
"95.15"		"3e personne"	"heterodiegetic"	
"95.26"		"3e personne"	"heterodiegetic"	
"95.28"		"3e personne"	"heterodiegetic"	
"95.34"		"3e personne"	"heterodiegetic"	
"95.39"	"t"	"3e personne"	"heterodiegetic"	
"96.16"		"3e personne"	"heterodiegetic"	
"96.18bis"		"3e personne"	"heterodiegetic"	
"96.34"	"t"	"3e personne"	"heterodiegetic"	
"96.36"	"t"	"3e personne"	"heterodiegetic"	
"96.47"	"t"	"3e personne"	"heterodiegetic"	
"96.59"	"nt"	"3e personne"	"heterodiegetic"	
"96.60"		"3e personne"	"heterodiegetic"	
"96.8"		"3e personne"	"heterodiegetic"	
"97.10"	"t"	"3e personne"	"heterodiegetic"	
"97.14"		"3e personne"	"heterodiegetic"	
"97.15"		"3e personne"	"heterodiegetic"	
"97.17"		"3e personne"	"heterodiegetic"	
"97.19"	"t"	"3e personne"	"heterodiegetic"	
"97.26"		"3e personne"	"heterodiegetic"	
"97.36"	"t"	"3e personne"	"heterodiegetic"	
"97.37"	"t"	"3e personne"	"heterodiegetic"	
"97.38"	"t"	"3e personne"	"heterodiegetic"	
"97.45"	"t"	"3e personne"	"heterodiegetic"	
"97.47"	"t"	"3e personne"	"heterodiegetic"	
"97.49"	"t"	"3e personne"	"heterodiegetic"	
