"P13"		"P47"	"P55"	"P55RP14"
"update"				"Q1"
	"check item"	"minimale Korrekturen"	"neu: Mapping der Strings auf 7 Werte"	"stated in Q1"
"62.7"		"1re personne"	"autodiegetic"	
"63.18"		"1re personne"	"autodiegetic"	
"63.28"	"t"	"1re personne"	"autodiegetic"	
"63.37"	"t"	"1re personne"	"autodiegetic"	
"64.14"		"1re personne"	"autodiegetic"	
"64.2"		"1re personne"	"autodiegetic"	
"64.35"		"1re personne"	"autodiegetic"	
"64.5"		"1re personne"	"autodiegetic"	
"65.14"		"1re personne"	"autodiegetic"	
"65.31"		"1re personne"	"autodiegetic"	
"65.38"		"1re personne"	"autodiegetic"	
"66.7"		"1re personne"	"autodiegetic"	
"67.29"		"1re personne"	"autodiegetic"	
"67.30"		"1re personne"	"autodiegetic"	
"67.34"	"t"	"1re personne"	"autodiegetic"	
"67.35"	"t"	"1re personne"	"autodiegetic"	
"67.47"		"1re personne"	"autodiegetic"	
"67.9"		"1re personne"	"autodiegetic"	
"68.11"		"1re personne"	"autodiegetic"	
"68.12"		"1re personne"	"autodiegetic"	
"68.16"		"1re personne"	"autodiegetic"	
"68.2"		"1re personne"	"autodiegetic"	
"68.26"	"t"	"1re personne"	"autodiegetic"	
"68.27"		"1re personne"	"autodiegetic"	
"68.37"		"1re personne"	"autodiegetic"	
"68.40"		"1re personne"	"autodiegetic"	
"68.42"		"1re personne"	"autodiegetic"	
"69.11"		"1re personne"	"autodiegetic"	
"69.33"		"1re personne"	"autodiegetic"	
"69.34"		"1re personne"	"autodiegetic"	
"69.40"	"t"	"1re personne"	"autodiegetic"	
"69.64"	"t"	"1re personne"	"autodiegetic"	
"69.66"	"t"	"1re personne"	"autodiegetic"	
"70.18"		"1re personne"	"autodiegetic"	
"70.24"		"1re personne"	"autodiegetic"	
"70.34"		"1re personne"	"autodiegetic"	
"70.38"		"1re personne"	"autodiegetic"	
"70.44"		"1re personne"	"autodiegetic"	
"70.45"		"1re personne"	"autodiegetic"	
"70.55"	"t"	"1re personne"	"autodiegetic"	
"70.65"		"1re personne"	"autodiegetic"	
"70.74"		"1re personne"	"autodiegetic"	
"71.5"		"1re personne"	"autodiegetic"	
"72.16"		"1re personne"	"autodiegetic"	
"74.3"		"1re personne"	"autodiegetic"	
"74.5"		"1re personne"	"autodiegetic"	
"75.38"		"1re personne"	"autodiegetic"	
"76.33"		"1re personne"	"autodiegetic"	
"76.42"	"nt"	"1re personne"	"autodiegetic"	
"76.45"		"1re personne"	"autodiegetic"	
"76.47"	"t"	"1re personne"	"autodiegetic"	
"76.5"		"1re personne"	"autodiegetic"	
"77.4"		"1re personne"	"autodiegetic"	
"77.40"	"n"	"1re personne"	"autodiegetic"	
"77.43"	"t"	"1re personne"	"autodiegetic"	
"77.6"	"nt"	"1re personne"	"autodiegetic"	
"78.18"		"1re personne"	"autodiegetic"	
"78.22"	"t"	"1re personne"	"autodiegetic"	
"78.29"		"1re personne"	"autodiegetic"	
"78.4"		"1re personne"	"autodiegetic"	
"79.15"		"1re personne"	"autodiegetic"	
"79.36"		"1re personne"	"autodiegetic"	
"79.4"		"1re personne"	"autodiegetic"	
"79.5"		"1re personne"	"autodiegetic"	
"81.12"		"1re personne"	"autodiegetic"	
"81.2"		"1re personne"	"autodiegetic"	
"81.25"		"1re personne"	"autodiegetic"	
"81.27"		"1re personne"	"autodiegetic"	
"82.10"		"1re personne"	"autodiegetic"	
"82.5"		"1re personne"	"autodiegetic"	
"83.1"		"1re personne"	"autodiegetic"	
"83.12"		"1re personne"	"autodiegetic"	
"83.32"		"1re personne"	"autodiegetic"	
"83.33"		"1re personne"	"autodiegetic"	
"83.52"		"1re personne"	"autodiegetic"	
"83.53"		"1re personne"	"autodiegetic"	
"83.54"		"1re personne"	"autodiegetic"	
"84.2"		"1re personne"	"autodiegetic"	
"84.31"	"t"	"1re personne"	"autodiegetic"	
"84.6"		"1re personne"	"autodiegetic"	
"85.21"		"1re personne"	"autodiegetic"	
"85.3"		"1re personne"	"autodiegetic"	
"85.34"		"1re personne"	"autodiegetic"	
"85.43"		"1re personne"	"autodiegetic"	
"85.8"		"1re personne"	"autodiegetic"	
"86.15"	"t"	"1re personne"	"autodiegetic"	
"86.2"		"1re personne"	"autodiegetic"	
"86.36"		"1re personne"	"autodiegetic"	
"86.60"		"1re personne"	"autodiegetic"	
"86.61"		"1re personne"	"autodiegetic"	
"86.62"		"1re personne"	"autodiegetic"	
"87.1"		"1re personne"	"autodiegetic"	
"87.12"		"1re personne"	"autodiegetic"	
"87.15"	"t"	"1re personne"	"autodiegetic"	
"87.45"		"1re personne"	"autodiegetic"	
"87.49"	"cnt"	"1re personne"	"autodiegetic"	
"87.52"		"1re personne"	"autodiegetic"	
"87.63"	"t"	"1re personne"	"autodiegetic"	
"87.69"		"1re personne"	"autodiegetic"	
"87.7"		"1re personne"	"autodiegetic"	
"87.70"	"mt"	"1re personne"	"autodiegetic"	
"88.10"		"1re personne"	"autodiegetic"	
"88.17"		"1re personne"	"autodiegetic"	
