				P31	P59	P65	FR	EN	DE						P25	P2	P2RP14
new	item														Q25	Q26	Q25
MiMoText Label (fr)	MiMoText Label (en)	MiMoText Label (de)	Wikidata IDs	Wikidata URLs		coordinate location	Wikidata Label (fr) | copy MMT-Label	Wikidata Label (en)	Wikidata Label (de)	Quelle (intern)	matching quality	skos:altLabel (fr)	skos:altLabel (en)	skos:altLabel (de)			
			Q1	https://www.wikidata.org/wiki/Q1			univers	universe	Universum								
			Q100	https://www.wikidata.org/wiki/Q100		42.358333333333,-71.0625	Boston	Boston	Boston								
			Q1006	https://www.wikidata.org/wiki/Q1006		10,-11	Guinée	Guinea	Guinea								
			Q101081	https://www.wikidata.org/wiki/Q101081		44,6	Provence	Provence	Provence								
			Q1028	https://www.wikidata.org/wiki/Q1028		32,-6	Maroc	Morocco	Marokko								
			Q1029	https://www.wikidata.org/wiki/Q1029		-19,35	Mozambique	Mozambique	Mosambik								
			Q102911	https://www.wikidata.org/wiki/Q102911		52.25,4.667	Hollande	Holland	Holland								
			Q103011	https://www.wikidata.org/wiki/Q103011		37.933333333333,22.933333333333	Corinthe	Corinth	Korinth								
			Q10305	https://www.wikidata.org/wiki/Q10305		41.65,-0.88333333333333	Saragosse	Zaragoza	Saragossa								
			Q1041	https://www.wikidata.org/wiki/Q1041		14.366667,-14.283333	Sénégal	Senegal	Senegal								
			Q104527690	https://www.wikidata.org/wiki/Q104527690			L'île de Délos		Die Insel Delos								
			Q1065592	https://www.wikidata.org/wiki/Q1065592			île inhabitée	desert island	unbewohnte Insel								
			Q106577	https://www.wikidata.org/wiki/Q106577			Neustrie	Neustria	Neustrien								
			Q107425	https://www.wikidata.org/wiki/Q107425			paysage	landscape	Landschaft	DEL	exact match						
			Q1081620	https://www.wikidata.org/wiki/Q1081620		13.75,100.51666666666667	Siam	Siam	Siam								
			Q1085	https://www.wikidata.org/wiki/Q1085		50.083333333333,14.416666666667	Prague	Prague	Prag								
ruine	ruin	Ruine	Q109607		https://www.wikidata.org/wiki/Q109607		ruine	ruins	Ruine	BGRF/DEL	close match						
			Q1107656	https://www.wikidata.org/wiki/Q1107656			jardin	garden	Garten	DEL	exact match						
			Q1111777	https://www.wikidata.org/wiki/Q1111777		43.755555555556,-0.78861111111111	Laurède	Laurède	Laurède								
			Q1128397	https://www.wikidata.org/wiki/Q1128397			couvent	convent	Konvent								
grotte	grotto	Grotte	Q1131329		https://www.wikidata.org/wiki/Q1131329					BGRF	close match						
cour	court	Hof	Q1134237		https://www.wikidata.org/wiki/Q1134237		cour	court	Hofstaat	DEL	close match						
			Q1142	https://www.wikidata.org/wiki/Q1142		48.5,7.5	Alsace	Alsace	Elsass								
			Q1145276	https://www.wikidata.org/wiki/Q1145276			pays de fiction	fictional country	fiktives Land								
cabinet de curiosité	cabinet of curiosities	Kuriositätenkabinett	Q1146002		https://www.wikidata.org/wiki/Q1146002		cabinet de curiosités	cabinet of curiosities	Wunderkammer	DEL	close match						
			Q1152	https://www.wikidata.org/wiki/Q1152		45.7,3.3	Auvergne	Auvergne	Auvergne								
			Q11635	https://www.wikidata.org/wiki/Q11635			théâtre	theatre	Theater	DEL	exact match						
			Q1170287	https://www.wikidata.org/wiki/Q1170287			sérail	Seraglio	Serail								
			Q1171	https://www.wikidata.org/wiki/Q1171		15.401944,74.043333	Goa	Goa	Goa								
			Q11772	https://www.wikidata.org/wiki/Q11772		38.59932,24.59412	Grèce antique	Ancient Greece	Antikes Griechenland								
			Q1179	https://www.wikidata.org/wiki/Q1179		44.583333333333,0	Aquitaine	Aquitaine	Aquitanien								
			Q1192720	https://www.wikidata.org/wiki/Q1192720		40.795277777778,14.163333333333	Nisida	Nisida	Nisida								
			Q1199713	https://www.wikidata.org/wiki/Q1199713		-6.134836,106.813222	Batavia	Batavia	Batavia								
			Q12130	https://www.wikidata.org/wiki/Q12130		48,-3	Bretagne	Brittany	Bretagne								
			Q1216	https://www.wikidata.org/wiki/Q1216		45.25,7.9166666666667	Piémont	Piedmont	Piemont								
			Q12191	https://www.wikidata.org/wiki/Q12191		47.217222222222,-1.5538888888889	Nantes	Nantes	Nantes								
			Q12193	https://www.wikidata.org/wiki/Q12193		48.39,-4.4869444444444	Brest	Brest	Brest								
			Q1219591	https://www.wikidata.org/wiki/Q1219591		48.585833333333,4.5311111111111	Lignon	Lignon	Lignon								
			Q12284	https://www.wikidata.org/wiki/Q12284			canal	canal	Kanal	DEL	exact match						
			Q123377	https://www.wikidata.org/wiki/Q123377		57.833333333333,-7	Hébrides	Hebrides	Hebriden								
			Q1237299	https://www.wikidata.org/wiki/Q1237299			Midi de la France	Southern France	Südfrankreich								
			Q12431	https://www.wikidata.org/wiki/Q12431		42.666666666667,1	Pyrénées	Pyrenees	Pyrenäen								
