pointer					value
add	statements				
id	Spalte	text	Keyword	property	Themenwert
79.22	r_c	amours contrariées, malheurs;	malheurs	isabout	malheur
79.22	r_c	amours contrariées, malheurs;	amour	isabout	amour
79.22	r_s	sensibilité, vertu.	vertu	isabout	vertu
82.17	r_c	intrigues libertines, vengeances;	libertines	isabout	libertinage
82.20	r_s	but didactique (roman d’éducation), sensibilité, vertu.	sensibilité	isabout	sentimentalisme
82.20	r_s	but didactique (roman d’éducation), sensibilité, vertu.	éducation	isabout	éducation
82.20	r_s	but didactique (roman d’éducation), sensibilité, vertu.	vertu	isabout	vertu
82.27	r_c	aventures romanesques, voyages en France et dans des pays exotiques, description d’un pays imaginaire;	voyages	isabout	voyage
82.27	r_s	thèmes philosophiques, quelques épisodes aux tendances réalistes.	thèmes philosophiques	isabout	philosophie
83.15	r_s	sensibilité larmoyante, malheurs.	sensibilité	isabout	sentimentalisme
83.15	r_c	pour échapper à la poursuite, les membres de la famille La Bédoyère se déguisent en paysans...;	famille	isabout	famille
83.15	r_s	sensibilité larmoyante, malheurs.	malheurs	isabout	malheur
83.26	r_c	intrigue sentimentale;	sentimentale	isabout	sentiment
83.31	r_c	intrigue sentimentale, malheurs;	sentimentale	isabout	sentiment
83.31	r_s	sensibilité larmoyante.	sensibilité	isabout	sentimentalisme
83.31	r_c	intrigue sentimentale, malheurs;	malheurs	isabout	malheur
83.40	r_c	aventures d’un libertin;	libertin	isabout	libertinage
83.40	r_s	précisions pornographiques.	pornographiques	isabout	érotisme
83.42	r_s	ton sensible.	sensible	isabout	sentimentalisme
83.42	r_c	intrigues politiques et amoureuses;	politique	isabout	politique
83.42	r_c	intrigues politiques et amoureuses;	amour	isabout	amour
84.27	r_c	voyages, aventures fantaisistes et décousues.	voyages	isabout	voyage
84.50	r_c	aventures libertines	libertines	isabout	libertinage
84.58	r_c	aventures galantes, malheurs d’une villageoise entraînée par le mauvais exemple;	galant	isabout	galanterie
84.58	r_s	sensibilité, intentions moralisatrices, tendances réalistes.	sensibilité	isabout	sentimentalisme
84.58	r_c	aventures galantes, malheurs d’une villageoise entraînée par le mauvais exemple;	malheurs	isabout	malheur
84.58	r_c	aventures galantes, malheurs d’une villageoise entraînée par le mauvais exemple;	village	isabout	village
85.24	r_c	une mère raconte dans des lettres l’éducation mondaine et sentimentale de sa fille;	sentimentale	isabout	sentiment
85.24	r_c	une mère raconte dans des lettres l’éducation mondaine et sentimentale de sa fille;	éducation	isabout	éducation
86.27	r_s	sensibilité, vie à la campagne.	sensibilité	isabout	sentimentalisme
86.27	r_c	intrigue mondaine, histoire d’amour;	amour	isabout	amour
86.32	r_c	aventures sentimentales, intrigues politiques;	sentimentale	isabout	sentiment
86.32	r_c	aventures sentimentales, intrigues politiques;	politique	isabout	politique
86.51	r_c	aventures libertines	libertines	isabout	libertinage
87.25	r_c	voyages, aventures merveilleuses;	merveille	isabout	miracle
87.25	r_c	voyages, aventures merveilleuses;	voyages	isabout	voyage
87.54bis	r_c	intrigue sentimentale;	sentimentale	isabout	sentiment
87.54bis	r_s	sensibilité passionnée, retour à la nature.	sensibilité	isabout	sentimentalisme
87.54bis	r_s	sensibilité passionnée, retour à la nature.	passion	isabout	passion
87.54bis	r_s	sensibilité passionnée, retour à la nature.	nature	isabout	nature
87.56	r_c	aventures galantes;	galant	isabout	galanterie
88.53	r_c	intrigue sentimentale;	sentimentale	isabout	sentiment
89.104	r_c	correspondance amoureuse au cours de laquelle le marquis délaisse Ninon pour madame Scarron	amour	isabout	amour
89.104	r_c	correspondance amoureuse au cours de laquelle le marquis délaisse Ninon pour madame Scarron	correspondance	isabout	correspondance littéraire
89.104	r_c	correspondance amoureuse au cours de laquelle le marquis délaisse Ninon pour madame Scarron	cour	isabout	cour
90.47	r_c	aventures galantes;	galant	isabout	galanterie
91.42	r_c	les malheurs et aventures de deux soeurs orphelines de caractères opposés;	malheurs	isabout	malheur
91.42	r_s	détails pornographiques.	pornographiques	isabout	érotisme
91.44	r_c	éducation et vie d’un roi;	éducation	isabout	éducation
93.16	r_c	tableaux du libertinage;	libertin	isabout	libertinage
93.16	r_s	précisions pornographiques.	pornographiques	isabout	érotisme
94.13	r_c	intrigue sentimentale;	sentimentale	isabout	sentiment
95.20	r_c	aventures chevaleresques;	chevaleresques	isabout	chevalerie
95.20	r_s	sensibilité.	sensibilité	isabout	sentimentalisme
95.36	r_c	aventures romanesques, voyages, libertinage;	libertin	isabout	libertinage
95.36	r_c	aventures romanesques, voyages, libertinage;	voyages	isabout	voyage
95.37	r_c	cours de libertinage;	libertin	isabout	libertinage
95.37	r_s	précisions pornographiques.	pornographiques	isabout	érotisme
95.37	r_c	cours de libertinage;	cour	isabout	cour
96.18	r_c	intrigues mondaines et sentimentales, tableaux des moeurs	sentimentale	isabout	sentiment
97.21	r_c	voyage, aventures bouffonnes, galantes, romanesques;	galant	isabout	galanterie
97.21	r_c	voyage, aventures bouffonnes, galantes, romanesques;	voyage	isabout	voyage
97.21	r_s	thèmes philosophiques, mise en cause des techniques du romancier.	thèmes philosophiques	isabout	philosophie
97.22	r_c	les malheurs de la victime d’une claustration forcée;	malheurs	isabout	malheur
97.22	r_s	thèmes philosophiques et humanitaires.	thèmes philosophiques	isabout	philosophie
97.74	r_c	amours malheureuses;	malheur	isabout	malheur
97.74	r_c	amours malheureuses;	amour	isabout	amour
98.41	r_c	malheurs, intrigue sentimentale;	sentimentale	isabout	sentiment
98.41	r_s	sensibilité, vertu.	sensibilité	isabout	sentimentalisme
98.41	r_c	malheurs, intrigue sentimentale;	malheurs	isabout	malheur
98.41	r_s	sensibilité, vertu.	vertu	isabout	vertu
98.84	r_c	de multiples scènes libertines et pornographiques	libertines	isabout	libertinage
98.84	r_c	de multiples scènes libertines et pornographiques	pornographiques	isabout	érotisme
98.85	r_c	les malheurs d’une réfugiée, éléments d’actualité	malheurs	isabout	malheur
98.88	r_c	aventures révolutionnaires, voyages	révolutionnaires	isabout	révolution
98.88	r_c	aventures révolutionnaires, voyages	voyages	isabout	voyage
99.104	r_c	intrigue mondaine, histoire sentimentale	sentimentale	isabout	sentiment
99.105	r_c	querelles de famille, intrigue sentimentale	sentimentale	isabout	sentiment
99.105	r_c	querelles de famille, intrigue sentimentale	famille	isabout	famille
99.62	r_c	intrigue sentimentale (une femme vertueuse éprouvée par l’amour);	sentimentale	isabout	sentiment
99.62	r_s	analyse des sentiments, sensibilité, vertu.	sensibilité	isabout	sentimentalisme
99.62	r_c	intrigue sentimentale (une femme vertueuse éprouvée par l’amour);	amour	isabout	amour
99.62	r_c	intrigue sentimentale (une femme vertueuse éprouvée par l’amour);	vertu	isabout	vertu
99.76	r_s	nature, sensibilité, vertu, bienfaisance.	sensibilité	isabout	sentimentalisme
99.76	r_c	malheurs d’une enfant trouvée qui est adoptée par une dame charitable;	malheurs	isabout	malheur
99.76	r_s	nature, sensibilité, vertu, bienfaisance.	vertu	isabout	vertu
99.76	r_s	nature, sensibilité, vertu, bienfaisance.	nature	isabout	nature
